1         Threads
2         Connections per thread
60        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         320.45          ---          ---      3.14000       333.09
Gets         320.45       928.17        33.17      3.08400       969.58
Waits          0.00          ---          ---      0.00000          ---
Totals       640.89       928.17        33.17      3.11200      1302.67


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       2.000         0.04
SET       2.100         0.48
SET       2.200         2.88
SET       2.300         9.20
SET       2.400        19.05
SET       2.500        30.76
SET       2.600        42.61
SET       2.700        52.42
SET       2.800        60.32
SET       2.900        65.97
SET       3.000        70.51
SET       3.100        73.69
SET       3.200        76.42
SET       3.300        78.71
SET       3.400        80.72
SET       3.500        82.25
SET       3.600        83.67
SET       3.700        84.92
SET       3.800        85.98
SET       3.900        86.96
SET       4.000        87.88
SET       4.100        88.78
SET       4.200        89.49
SET       4.300        90.15
SET       4.400        90.98
SET       4.500        91.76
SET       4.600        92.35
SET       4.700        92.83
SET       4.800        93.39
SET       4.900        93.87
SET       5.000        94.36
SET       5.100        94.84
SET       5.200        95.24
SET       5.300        95.50
SET       5.400        95.74
SET       5.500        96.03
SET       5.600        96.27
SET       5.700        96.47
SET       5.800        96.62
SET       5.900        96.92
SET       6.000        97.13
SET       6.100        97.28
SET       6.200        97.43
SET       6.300        97.52
SET       6.400        97.65
SET       6.500        97.73
SET       6.600        97.84
SET       6.700        97.91
SET       6.800        98.02
SET       6.900        98.12
SET       7.000        98.20
SET       7.100        98.25
SET       7.200        98.30
SET       7.300        98.40
SET       7.400        98.47
SET       7.500        98.57
SET       7.600        98.63
SET       7.700        98.73
SET       7.800        98.79
SET       7.900        98.81
SET       8.000        98.87
SET       8.100        98.92
SET       8.200        98.98
SET       8.300        99.03
SET       8.400        99.06
SET       8.500        99.12
SET       8.600        99.18
SET       8.700        99.23
SET       8.800        99.26
SET       8.900        99.29
SET       9.000        99.30
SET       9.100        99.33
SET       9.200        99.35
SET       9.300        99.41
SET       9.400        99.44
SET       9.500        99.47
SET       9.600        99.48
SET       9.700        99.53
SET       9.800        99.55
SET       9.900        99.57
SET      10.000        99.68
SET      11.000        99.79
SET      12.000        99.85
SET      13.000        99.87
SET      14.000        99.88
SET      15.000        99.89
SET      16.000        99.91
SET      17.000        99.92
SET      19.000        99.93
SET      20.000        99.95
SET      24.000        99.95
SET      35.000        99.96
SET      37.000        99.96
SET      51.000        99.97
SET      54.000        99.98
SET      69.000        99.98
SET      79.000        99.99
SET     200.000       100.00
---
GET       1.900         0.01
GET       2.000         0.17
GET       2.100         1.57
GET       2.200         5.92
GET       2.300        14.37
GET       2.400        25.63
GET       2.500        37.70
GET       2.600        48.28
GET       2.700        57.36
GET       2.800        63.94
GET       2.900        68.94
GET       3.000        73.01
GET       3.100        76.14
GET       3.200        78.48
GET       3.300        80.58
GET       3.400        82.27
GET       3.500        83.80
GET       3.600        84.93
GET       3.700        86.14
GET       3.800        87.13
GET       3.900        88.06
GET       4.000        88.96
GET       4.100        89.68
GET       4.200        90.39
GET       4.300        91.21
GET       4.400        91.86
GET       4.500        92.46
GET       4.600        92.96
GET       4.700        93.38
GET       4.800        93.73
GET       4.900        94.15
GET       5.000        94.54
GET       5.100        94.89
GET       5.200        95.27
GET       5.300        95.61
GET       5.400        95.86
GET       5.500        96.15
GET       5.600        96.39
GET       5.700        96.61
GET       5.800        96.79
GET       5.900        97.02
GET       6.000        97.18
GET       6.100        97.35
GET       6.200        97.46
GET       6.300        97.61
GET       6.400        97.69
GET       6.500        97.84
GET       6.600        97.98
GET       6.700        98.04
GET       6.800        98.13
GET       6.900        98.24
GET       7.000        98.33
GET       7.100        98.38
GET       7.200        98.47
GET       7.300        98.50
GET       7.400        98.55
GET       7.500        98.59
GET       7.600        98.65
GET       7.700        98.70
GET       7.800        98.76
GET       7.900        98.77
GET       8.000        98.81
GET       8.100        98.83
GET       8.200        98.87
GET       8.300        98.89
GET       8.400        98.94
GET       8.500        98.98
GET       8.600        99.05
GET       8.700        99.09
GET       8.800        99.14
GET       8.900        99.17
GET       9.000        99.20
GET       9.100        99.27
GET       9.200        99.30
GET       9.300        99.33
GET       9.400        99.38
GET       9.500        99.40
GET       9.600        99.43
GET       9.700        99.48
GET       9.800        99.50
GET       9.900        99.52
GET      10.000        99.64
GET      11.000        99.80
GET      12.000        99.84
GET      13.000        99.86
GET      14.000        99.88
GET      15.000        99.89
GET      16.000        99.90
GET      18.000        99.91
GET      19.000        99.92
GET      20.000        99.93
GET      22.000        99.94
GET      23.000        99.94
GET      24.000        99.95
GET      26.000        99.96
GET      32.000        99.96
GET      34.000        99.97
GET      36.000        99.97
GET      39.000        99.98
GET      74.000        99.98
GET      79.000        99.99
GET     300.000       100.00
---
