1         Threads
2         Connections per thread
60        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         161.62          ---          ---      7.15500       168.00
Gets         161.60       160.64         0.97      5.20700       168.78
Waits          0.00          ---          ---      0.00000          ---
Totals       323.23       160.64         0.97      6.18100       336.78


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       4.900         0.01
SET       5.000         0.05
SET       5.100         0.30
SET       5.200         0.87
SET       5.300         2.09
SET       5.400         3.86
SET       5.500         6.34
SET       5.600         9.26
SET       5.700        13.10
SET       5.800        17.17
SET       5.900        21.96
SET       6.000        27.02
SET       6.100        31.55
SET       6.200        35.62
SET       6.300        40.11
SET       6.400        44.41
SET       6.500        48.35
SET       6.600        52.31
SET       6.700        55.87
SET       6.800        59.62
SET       6.900        62.98
SET       7.000        66.71
SET       7.100        69.22
SET       7.200        71.71
SET       7.300        73.98
SET       7.400        75.83
SET       7.500        77.70
SET       7.600        79.42
SET       7.700        80.78
SET       7.800        82.21
SET       7.900        83.36
SET       8.000        84.73
SET       8.100        85.74
SET       8.200        86.56
SET       8.300        87.12
SET       8.400        87.85
SET       8.500        88.64
SET       8.600        89.15
SET       8.700        89.78
SET       8.800        90.32
SET       8.900        90.83
SET       9.000        91.36
SET       9.100        91.73
SET       9.200        92.09
SET       9.300        92.50
SET       9.400        92.82
SET       9.500        93.13
SET       9.600        93.39
SET       9.700        93.72
SET       9.800        93.92
SET       9.900        94.20
SET      10.000        95.43
SET      11.000        96.88
SET      12.000        97.83
SET      13.000        98.39
SET      14.000        98.79
SET      15.000        99.06
SET      16.000        99.24
SET      17.000        99.37
SET      18.000        99.45
SET      19.000        99.52
SET      20.000        99.59
SET      21.000        99.65
SET      22.000        99.67
SET      23.000        99.68
SET      24.000        99.69
SET      25.000        99.72
SET      27.000        99.75
SET      28.000        99.76
SET      29.000        99.77
SET      31.000        99.79
SET      32.000        99.82
SET      33.000        99.84
SET      34.000        99.85
SET      38.000        99.87
SET      41.000        99.89
SET      46.000        99.91
SET      47.000        99.92
SET      63.000        99.93
SET      71.000        99.94
SET      72.000        99.95
SET      94.000        99.96
SET     100.000        99.97
SET     120.000        99.98
SET     130.000        99.99
SET     140.000       100.00
---
GET       3.400         0.02
GET       3.500         0.20
GET       3.600         0.60
GET       3.700         1.85
GET       3.800         3.89
GET       3.900         6.75
GET       4.000        10.59
GET       4.100        14.87
GET       4.200        19.56
GET       4.300        25.07
GET       4.400        30.97
GET       4.500        36.78
GET       4.600        42.26
GET       4.700        47.42
GET       4.800        52.07
GET       4.900        56.69
GET       5.000        61.95
GET       5.100        65.91
GET       5.200        69.15
GET       5.300        71.82
GET       5.400        74.50
GET       5.500        76.84
GET       5.600        78.94
GET       5.700        80.71
GET       5.800        82.42
GET       5.900        84.07
GET       6.000        85.58
GET       6.100        86.68
GET       6.200        87.64
GET       6.300        88.43
GET       6.400        89.21
GET       6.500        89.81
GET       6.600        90.56
GET       6.700        91.16
GET       6.800        91.72
GET       6.900        92.22
GET       7.000        92.86
GET       7.100        93.22
GET       7.200        93.48
GET       7.300        93.83
GET       7.400        94.05
GET       7.500        94.30
GET       7.600        94.51
GET       7.700        94.77
GET       7.800        94.99
GET       7.900        95.29
GET       8.000        95.52
GET       8.100        95.67
GET       8.200        95.86
GET       8.300        96.03
GET       8.400        96.24
GET       8.500        96.37
GET       8.600        96.54
GET       8.700        96.64
GET       8.800        96.76
GET       8.900        96.97
GET       9.000        97.12
GET       9.100        97.18
GET       9.200        97.27
GET       9.300        97.41
GET       9.400        97.49
GET       9.500        97.61
GET       9.600        97.79
GET       9.700        97.90
GET       9.800        98.00
GET       9.900        98.10
GET      10.000        98.54
GET      11.000        99.02
GET      12.000        99.36
GET      13.000        99.48
GET      14.000        99.58
GET      15.000        99.66
GET      16.000        99.73
GET      17.000        99.81
GET      18.000        99.86
GET      19.000        99.88
GET      20.000        99.91
GET      21.000        99.92
GET      22.000        99.93
GET      24.000        99.94
GET      33.000        99.95
GET      37.000        99.96
GET      43.000        99.97
GET      44.000        99.98
GET      60.000        99.99
GET     140.000       100.00
---
