1         Threads
2         Connections per thread
60        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         235.99          ---          ---      4.20500       245.29
Gets         235.99      2105.93        17.95      4.24900      2194.37
Waits          0.00          ---          ---      0.00000          ---
Totals       471.97      2105.93        17.95      4.22700      2439.67


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       2.100         0.06
SET       2.200         0.47
SET       2.300         2.37
SET       2.400         6.92
SET       2.500        14.33
SET       2.600        23.91
SET       2.700        33.49
SET       2.800        42.91
SET       2.900        51.57
SET       3.000        57.82
SET       3.100        62.66
SET       3.200        66.27
SET       3.300        68.90
SET       3.400        71.03
SET       3.500        72.81
SET       3.600        74.06
SET       3.700        74.97
SET       3.800        75.72
SET       3.900        76.48
SET       4.000        77.14
SET       4.100        77.73
SET       4.200        78.20
SET       4.300        78.62
SET       4.400        79.00
SET       4.500        79.26
SET       4.600        79.60
SET       4.700        79.84
SET       4.800        80.03
SET       4.900        80.28
SET       5.000        80.48
SET       5.100        80.66
SET       5.200        80.88
SET       5.300        81.02
SET       5.400        81.19
SET       5.500        81.34
SET       5.600        81.52
SET       5.700        81.67
SET       5.800        81.84
SET       5.900        81.95
SET       6.000        82.08
SET       6.100        82.18
SET       6.200        82.30
SET       6.300        82.39
SET       6.400        82.44
SET       6.500        82.54
SET       6.600        82.60
SET       6.700        82.66
SET       6.800        82.70
SET       6.900        82.75
SET       7.000        82.82
SET       7.100        82.86
SET       7.200        82.93
SET       7.300        82.98
SET       7.400        83.03
SET       7.500        83.10
SET       7.600        83.23
SET       7.700        83.36
SET       7.800        83.63
SET       7.900        84.00
SET       8.000        84.37
SET       8.100        84.83
SET       8.200        85.28
SET       8.300        85.65
SET       8.400        86.06
SET       8.500        86.46
SET       8.600        86.77
SET       8.700        87.19
SET       8.800        87.56
SET       8.900        88.04
SET       9.000        88.42
SET       9.100        88.94
SET       9.200        89.44
SET       9.300        90.20
SET       9.400        90.88
SET       9.500        91.83
SET       9.600        92.68
SET       9.700        93.54
SET       9.800        94.52
SET       9.900        95.45
SET      10.000        98.06
SET      11.000        98.88
SET      12.000        99.20
SET      13.000        99.43
SET      14.000        99.57
SET      15.000        99.63
SET      16.000        99.66
SET      17.000        99.68
SET      18.000        99.73
SET      19.000        99.79
SET      20.000        99.80
SET      21.000        99.81
SET      22.000        99.82
SET      23.000        99.84
SET      26.000        99.85
SET      29.000        99.87
SET      30.000        99.90
SET      31.000        99.91
SET      32.000        99.92
SET      33.000        99.92
SET      38.000        99.93
SET      43.000        99.94
SET      49.000        99.95
SET      64.000        99.96
SET      71.000        99.96
SET      95.000        99.97
SET      96.000        99.98
SET     100.000        99.99
SET     130.000       100.00
---
GET       2.200         0.06
GET       2.300         0.61
GET       2.400         2.67
GET       2.500         7.34
GET       2.600        15.48
GET       2.700        25.23
GET       2.800        35.67
GET       2.900        44.81
GET       3.000        52.73
GET       3.100        58.95
GET       3.200        63.79
GET       3.300        67.37
GET       3.400        69.95
GET       3.500        72.03
GET       3.600        73.49
GET       3.700        74.90
GET       3.800        75.89
GET       3.900        76.71
GET       4.000        77.37
GET       4.100        77.91
GET       4.200        78.40
GET       4.300        78.83
GET       4.400        79.22
GET       4.500        79.51
GET       4.600        79.84
GET       4.700        80.14
GET       4.800        80.40
GET       4.900        80.71
GET       5.000        80.90
GET       5.100        81.16
GET       5.200        81.40
GET       5.300        81.57
GET       5.400        81.79
GET       5.500        81.96
GET       5.600        82.10
GET       5.700        82.22
GET       5.800        82.37
GET       5.900        82.48
GET       6.000        82.56
GET       6.100        82.64
GET       6.200        82.73
GET       6.300        82.83
GET       6.400        82.94
GET       6.500        83.04
GET       6.600        83.08
GET       6.700        83.17
GET       6.800        83.23
GET       6.900        83.29
GET       7.000        83.35
GET       7.100        83.41
GET       7.200        83.47
GET       7.300        83.55
GET       7.400        83.62
GET       7.500        83.69
GET       7.600        83.74
GET       7.700        83.87
GET       7.800        84.11
GET       7.900        84.43
GET       8.000        84.84
GET       8.100        85.23
GET       8.200        85.63
GET       8.300        85.97
GET       8.400        86.29
GET       8.500        86.71
GET       8.600        87.03
GET       8.700        87.44
GET       8.800        87.87
GET       8.900        88.26
GET       9.000        88.64
GET       9.100        89.08
GET       9.200        89.57
GET       9.300        90.23
GET       9.400        90.90
GET       9.500        91.75
GET       9.600        92.51
GET       9.700        93.36
GET       9.800        94.17
GET       9.900        94.96
GET      10.000        97.93
GET      11.000        98.93
GET      12.000        99.30
GET      13.000        99.44
GET      14.000        99.51
GET      15.000        99.56
GET      16.000        99.63
GET      18.000        99.64
GET      19.000        99.68
GET      20.000        99.72
GET      21.000        99.74
GET      23.000        99.76
GET      24.000        99.77
GET      28.000        99.78
GET      29.000        99.79
GET      30.000        99.80
GET      31.000        99.81
GET      32.000        99.82
GET      33.000        99.85
GET      36.000        99.86
GET      37.000        99.87
GET      38.000        99.90
GET      39.000        99.93
GET      40.000        99.94
GET      42.000        99.94
GET      46.000        99.95
GET      49.000        99.96
GET      56.000        99.96
GET      58.000        99.97
GET      59.000        99.98
GET      71.000        99.99
GET      95.000        99.99
GET     100.000       100.00
---
