1         Threads
2         Connections per thread
60        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         316.93          ---          ---      3.11100       329.43
Gets         316.90      1868.03        33.35      3.18100      1947.76
Waits          0.00          ---          ---      0.00000          ---
Totals       633.83      1868.03        33.35      3.14600      2277.19


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       2.000         0.05
SET       2.100         0.49
SET       2.200         2.86
SET       2.300         8.98
SET       2.400        19.53
SET       2.500        32.07
SET       2.600        43.99
SET       2.700        54.01
SET       2.800        61.95
SET       2.900        67.96
SET       3.000        72.39
SET       3.100        75.79
SET       3.200        78.11
SET       3.300        80.20
SET       3.400        81.77
SET       3.500        83.26
SET       3.600        84.51
SET       3.700        85.57
SET       3.800        86.60
SET       3.900        87.55
SET       4.000        88.42
SET       4.100        89.32
SET       4.200        90.05
SET       4.300        90.70
SET       4.400        91.25
SET       4.500        91.75
SET       4.600        92.40
SET       4.700        92.87
SET       4.800        93.35
SET       4.900        93.82
SET       5.000        94.22
SET       5.100        94.53
SET       5.200        94.89
SET       5.300        95.20
SET       5.400        95.51
SET       5.500        95.72
SET       5.600        95.92
SET       5.700        96.20
SET       5.800        96.43
SET       5.900        96.63
SET       6.000        96.79
SET       6.100        97.00
SET       6.200        97.13
SET       6.300        97.24
SET       6.400        97.41
SET       6.500        97.53
SET       6.600        97.64
SET       6.700        97.72
SET       6.800        97.80
SET       6.900        97.89
SET       7.000        97.98
SET       7.100        98.03
SET       7.200        98.10
SET       7.300        98.15
SET       7.400        98.19
SET       7.500        98.25
SET       7.600        98.33
SET       7.700        98.41
SET       7.800        98.44
SET       7.900        98.52
SET       8.000        98.59
SET       8.100        98.64
SET       8.200        98.71
SET       8.300        98.75
SET       8.400        98.80
SET       8.500        98.82
SET       8.600        98.87
SET       8.700        98.91
SET       8.800        98.96
SET       8.900        99.03
SET       9.000        99.06
SET       9.100        99.10
SET       9.200        99.14
SET       9.300        99.18
SET       9.400        99.21
SET       9.500        99.23
SET       9.600        99.30
SET       9.700        99.36
SET       9.800        99.40
SET       9.900        99.42
SET      10.000        99.56
SET      11.000        99.78
SET      12.000        99.84
SET      13.000        99.91
SET      14.000        99.92
SET      15.000        99.94
SET      16.000        99.95
SET      17.000        99.97
SET      20.000        99.97
SET      25.000        99.98
SET      48.000        99.98
SET      49.000        99.99
SET      55.000        99.99
SET     190.000       100.00
---
GET       2.000         0.02
GET       2.100         0.27
GET       2.200         2.17
GET       2.300         7.55
GET       2.400        16.75
GET       2.500        28.48
GET       2.600        40.54
GET       2.700        51.23
GET       2.800        59.18
GET       2.900        65.87
GET       3.000        70.77
GET       3.100        74.58
GET       3.200        77.28
GET       3.300        79.50
GET       3.400        81.71
GET       3.500        83.21
GET       3.600        84.37
GET       3.700        85.48
GET       3.800        86.66
GET       3.900        87.59
GET       4.000        88.46
GET       4.100        89.23
GET       4.200        90.07
GET       4.300        90.65
GET       4.400        91.30
GET       4.500        91.85
GET       4.600        92.45
GET       4.700        92.93
GET       4.800        93.36
GET       4.900        93.75
GET       5.000        94.14
GET       5.100        94.50
GET       5.200        94.81
GET       5.300        95.13
GET       5.400        95.42
GET       5.500        95.69
GET       5.600        95.97
GET       5.700        96.19
GET       5.800        96.42
GET       5.900        96.61
GET       6.000        96.76
GET       6.100        96.93
GET       6.200        97.03
GET       6.300        97.12
GET       6.400        97.21
GET       6.500        97.34
GET       6.600        97.42
GET       6.700        97.50
GET       6.800        97.60
GET       6.900        97.70
GET       7.000        97.76
GET       7.100        97.82
GET       7.200        97.91
GET       7.300        98.00
GET       7.400        98.06
GET       7.500        98.11
GET       7.600        98.20
GET       7.700        98.24
GET       7.800        98.30
GET       7.900        98.37
GET       8.000        98.49
GET       8.100        98.52
GET       8.200        98.57
GET       8.300        98.65
GET       8.400        98.70
GET       8.500        98.76
GET       8.600        98.84
GET       8.700        98.89
GET       8.800        98.96
GET       8.900        99.02
GET       9.000        99.06
GET       9.100        99.11
GET       9.200        99.13
GET       9.300        99.15
GET       9.400        99.17
GET       9.500        99.22
GET       9.600        99.25
GET       9.700        99.29
GET       9.800        99.33
GET       9.900        99.36
GET      10.000        99.57
GET      11.000        99.70
GET      12.000        99.81
GET      13.000        99.86
GET      15.000        99.87
GET      16.000        99.88
GET      17.000        99.89
GET      18.000        99.91
GET      19.000        99.91
GET      20.000        99.92
GET      21.000        99.93
GET      23.000        99.93
GET      24.000        99.94
GET      25.000        99.94
GET      28.000        99.95
GET      30.000        99.95
GET      34.000        99.96
GET      37.000        99.96
GET      39.000        99.97
GET      50.000        99.97
GET      54.000        99.98
GET      59.000        99.98
GET     180.000        99.99
GET     310.000       100.00
---
