1         Threads
2         Connections per thread
60        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         307.44          ---          ---      3.26200       319.56
Gets         307.41       900.17        22.05      3.22800       940.17
Waits          0.00          ---          ---      0.00000          ---
Totals       614.84       900.17        22.05      3.24500      1259.73


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       2.100         0.01
SET       2.200         0.29
SET       2.300         2.09
SET       2.400         6.75
SET       2.500        15.29
SET       2.600        26.57
SET       2.700        38.95
SET       2.800        50.18
SET       2.900        59.42
SET       3.000        66.58
SET       3.100        72.26
SET       3.200        76.88
SET       3.300        80.28
SET       3.400        82.85
SET       3.500        84.87
SET       3.600        86.36
SET       3.700        87.67
SET       3.800        88.70
SET       3.900        89.52
SET       4.000        90.27
SET       4.100        90.84
SET       4.200        91.37
SET       4.300        91.78
SET       4.400        92.13
SET       4.500        92.40
SET       4.600        92.74
SET       4.700        93.04
SET       4.800        93.38
SET       4.900        93.56
SET       5.000        93.80
SET       5.100        94.06
SET       5.200        94.29
SET       5.300        94.51
SET       5.400        94.74
SET       5.500        94.88
SET       5.600        95.03
SET       5.700        95.18
SET       5.800        95.29
SET       5.900        95.47
SET       6.000        95.61
SET       6.100        95.74
SET       6.200        95.84
SET       6.300        95.91
SET       6.400        95.98
SET       6.500        96.08
SET       6.600        96.16
SET       6.700        96.22
SET       6.800        96.31
SET       6.900        96.36
SET       7.000        96.43
SET       7.100        96.49
SET       7.200        96.51
SET       7.300        96.57
SET       7.400        96.62
SET       7.500        96.66
SET       7.600        96.70
SET       7.700        96.76
SET       7.800        96.83
SET       7.900        96.93
SET       8.000        97.04
SET       8.100        97.16
SET       8.200        97.26
SET       8.300        97.38
SET       8.400        97.48
SET       8.500        97.54
SET       8.600        97.64
SET       8.700        97.73
SET       8.800        97.83
SET       8.900        97.89
SET       9.000        97.97
SET       9.100        98.10
SET       9.200        98.22
SET       9.300        98.32
SET       9.400        98.39
SET       9.500        98.51
SET       9.600        98.70
SET       9.700        98.83
SET       9.800        99.00
SET       9.900        99.10
SET      10.000        99.49
SET      11.000        99.65
SET      12.000        99.79
SET      13.000        99.83
SET      14.000        99.84
SET      15.000        99.88
SET      16.000        99.90
SET      17.000        99.91
SET      18.000        99.92
SET      19.000        99.93
SET      20.000        99.96
SET      23.000        99.97
SET      28.000        99.97
SET      40.000        99.98
SET      74.000        99.98
SET      75.000        99.99
SET      81.000        99.99
SET      83.000       100.00
---
GET       2.100         0.11
GET       2.200         0.79
GET       2.300         3.69
GET       2.400         9.95
GET       2.500        20.42
GET       2.600        32.69
GET       2.700        44.38
GET       2.800        54.57
GET       2.900        62.93
GET       3.000        69.71
GET       3.100        74.90
GET       3.200        78.75
GET       3.300        81.79
GET       3.400        84.01
GET       3.500        85.77
GET       3.600        87.16
GET       3.700        88.15
GET       3.800        88.89
GET       3.900        89.69
GET       4.000        90.38
GET       4.100        90.99
GET       4.200        91.48
GET       4.300        91.88
GET       4.400        92.19
GET       4.500        92.51
GET       4.600        92.85
GET       4.700        93.09
GET       4.800        93.34
GET       4.900        93.55
GET       5.000        93.76
GET       5.100        93.93
GET       5.200        94.12
GET       5.300        94.37
GET       5.400        94.57
GET       5.500        94.77
GET       5.600        95.00
GET       5.700        95.14
GET       5.800        95.25
GET       5.900        95.39
GET       6.000        95.49
GET       6.100        95.58
GET       6.200        95.65
GET       6.300        95.80
GET       6.400        95.91
GET       6.500        95.98
GET       6.600        96.06
GET       6.700        96.16
GET       6.800        96.25
GET       6.900        96.29
GET       7.000        96.35
GET       7.100        96.41
GET       7.200        96.51
GET       7.300        96.57
GET       7.400        96.61
GET       7.500        96.66
GET       7.600        96.73
GET       7.700        96.81
GET       7.800        96.87
GET       7.900        96.97
GET       8.000        97.08
GET       8.100        97.19
GET       8.200        97.24
GET       8.300        97.33
GET       8.400        97.42
GET       8.500        97.50
GET       8.600        97.61
GET       8.700        97.70
GET       8.800        97.78
GET       8.900        97.86
GET       9.000        97.96
GET       9.100        98.11
GET       9.200        98.20
GET       9.300        98.34
GET       9.400        98.49
GET       9.500        98.63
GET       9.600        98.74
GET       9.700        98.87
GET       9.800        98.95
GET       9.900        99.12
GET      10.000        99.45
GET      11.000        99.64
GET      12.000        99.71
GET      13.000        99.73
GET      14.000        99.78
GET      15.000        99.83
GET      16.000        99.88
GET      17.000        99.89
GET      18.000        99.92
GET      20.000        99.93
GET      23.000        99.94
GET      28.000        99.95
GET      30.000        99.96
GET      31.000        99.97
GET      35.000        99.97
GET      38.000        99.98
GET      81.000        99.98
GET      83.000        99.99
GET      96.000       100.00
---
