1         Threads
2         Connections per thread
60        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         274.45          ---          ---      3.65600       285.27
Gets         274.42       798.17        25.08      3.61500       833.72
Waits          0.00          ---          ---      0.00000          ---
Totals       548.87       798.17        25.08      3.63600      1119.00


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       2.100         0.05
SET       2.200         0.63
SET       2.300         2.59
SET       2.400         7.53
SET       2.500        15.74
SET       2.600        26.01
SET       2.700        36.59
SET       2.800        46.53
SET       2.900        55.00
SET       3.000        62.06
SET       3.100        67.95
SET       3.200        72.50
SET       3.300        75.80
SET       3.400        78.34
SET       3.500        80.28
SET       3.600        81.67
SET       3.700        83.00
SET       3.800        84.14
SET       3.900        85.05
SET       4.000        85.73
SET       4.100        86.38
SET       4.200        86.90
SET       4.300        87.19
SET       4.400        87.59
SET       4.500        87.84
SET       4.600        88.10
SET       4.700        88.30
SET       4.800        88.51
SET       4.900        88.72
SET       5.000        88.87
SET       5.100        89.06
SET       5.200        89.17
SET       5.300        89.30
SET       5.400        89.42
SET       5.500        89.46
SET       5.600        89.53
SET       5.700        89.62
SET       5.800        89.67
SET       5.900        89.76
SET       6.000        89.82
SET       6.100        89.88
SET       6.200        89.96
SET       6.300        90.04
SET       6.400        90.13
SET       6.500        90.19
SET       6.600        90.25
SET       6.700        90.28
SET       6.800        90.34
SET       6.900        90.39
SET       7.000        90.43
SET       7.100        90.45
SET       7.200        90.50
SET       7.300        90.53
SET       7.400        90.54
SET       7.500        90.56
SET       7.600        90.61
SET       7.700        90.71
SET       7.800        90.93
SET       7.900        91.17
SET       8.000        91.39
SET       8.100        91.66
SET       8.200        91.89
SET       8.300        92.17
SET       8.400        92.40
SET       8.500        92.69
SET       8.600        92.92
SET       8.700        93.11
SET       8.800        93.35
SET       8.900        93.63
SET       9.000        93.88
SET       9.100        94.16
SET       9.200        94.41
SET       9.300        94.75
SET       9.400        95.18
SET       9.500        95.66
SET       9.600        96.15
SET       9.700        96.77
SET       9.800        97.11
SET       9.900        97.61
SET      10.000        99.06
SET      11.000        99.51
SET      12.000        99.62
SET      13.000        99.67
SET      14.000        99.71
SET      15.000        99.73
SET      16.000        99.75
SET      17.000        99.79
SET      18.000        99.83
SET      19.000        99.85
SET      20.000        99.87
SET      21.000        99.88
SET      23.000        99.89
SET      24.000        99.90
SET      25.000        99.91
SET      28.000        99.91
SET      29.000        99.92
SET      30.000        99.93
SET      39.000        99.93
SET      50.000        99.95
SET      51.000        99.96
SET      54.000        99.97
SET      61.000        99.98
SET      63.000        99.98
SET      70.000        99.99
SET      71.000        99.99
SET     230.000       100.00
---
GET       2.000         0.03
GET       2.100         0.26
GET       2.200         1.67
GET       2.300         5.31
GET       2.400        12.26
GET       2.500        21.88
GET       2.600        32.72
GET       2.700        43.43
GET       2.800        51.89
GET       2.900        59.02
GET       3.000        64.94
GET       3.100        69.88
GET       3.200        73.81
GET       3.300        76.81
GET       3.400        79.23
GET       3.500        80.94
GET       3.600        82.37
GET       3.700        83.76
GET       3.800        84.76
GET       3.900        85.65
GET       4.000        86.41
GET       4.100        86.86
GET       4.200        87.32
GET       4.300        87.73
GET       4.400        88.01
GET       4.500        88.25
GET       4.600        88.45
GET       4.700        88.72
GET       4.800        88.92
GET       4.900        89.17
GET       5.000        89.33
GET       5.100        89.46
GET       5.200        89.61
GET       5.300        89.74
GET       5.400        89.82
GET       5.500        89.87
GET       5.600        89.98
GET       5.700        90.03
GET       5.800        90.15
GET       5.900        90.21
GET       6.000        90.29
GET       6.100        90.32
GET       6.200        90.36
GET       6.300        90.39
GET       6.400        90.46
GET       6.500        90.53
GET       6.600        90.56
GET       6.700        90.62
GET       6.800        90.65
GET       6.900        90.68
GET       7.000        90.71
GET       7.100        90.73
GET       7.200        90.76
GET       7.300        90.79
GET       7.400        90.84
GET       7.500        90.88
GET       7.600        91.03
GET       7.700        91.19
GET       7.800        91.39
GET       7.900        91.61
GET       8.000        91.84
GET       8.100        92.10
GET       8.200        92.34
GET       8.300        92.63
GET       8.400        92.83
GET       8.500        93.09
GET       8.600        93.31
GET       8.700        93.55
GET       8.800        93.83
GET       8.900        94.08
GET       9.000        94.22
GET       9.100        94.46
GET       9.200        94.77
GET       9.300        95.24
GET       9.400        95.65
GET       9.500        95.99
GET       9.600        96.42
GET       9.700        96.88
GET       9.800        97.32
GET       9.900        97.67
GET      10.000        98.88
GET      11.000        99.34
GET      12.000        99.50
GET      13.000        99.57
GET      14.000        99.65
GET      15.000        99.69
GET      16.000        99.70
GET      17.000        99.72
GET      18.000        99.76
GET      19.000        99.83
GET      20.000        99.84
GET      21.000        99.84
GET      25.000        99.85
GET      28.000        99.85
GET      29.000        99.86
GET      30.000        99.87
GET      32.000        99.88
GET      34.000        99.88
GET      35.000        99.89
GET      39.000        99.90
GET      40.000        99.90
GET      46.000        99.91
GET      50.000        99.91
GET      51.000        99.92
GET      53.000        99.93
GET      59.000        99.94
GET      68.000        99.95
GET      70.000        99.95
GET      71.000        99.96
GET      77.000        99.97
GET      78.000        99.98
GET      81.000        99.98
GET      84.000        99.99
GET      86.000        99.99
GET     230.000       100.00
---
