1         Threads
2         Connections per thread
60        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         362.08          ---          ---      3.11300       376.36
Gets         362.04       344.66        17.38      2.39500       362.47
Waits          0.00          ---          ---      0.00000          ---
Totals       724.12       344.66        17.38      2.75400       738.83


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       2.000         0.06
SET       2.100         1.13
SET       2.200         5.62
SET       2.300        15.22
SET       2.400        27.16
SET       2.500        39.10
SET       2.600        49.06
SET       2.700        56.65
SET       2.800        62.74
SET       2.900        67.37
SET       3.000        71.12
SET       3.100        74.04
SET       3.200        76.46
SET       3.300        78.39
SET       3.400        80.01
SET       3.500        81.42
SET       3.600        82.81
SET       3.700        84.03
SET       3.800        85.26
SET       3.900        86.31
SET       4.000        87.34
SET       4.100        88.12
SET       4.200        88.95
SET       4.300        89.69
SET       4.400        90.45
SET       4.500        91.06
SET       4.600        91.68
SET       4.700        92.29
SET       4.800        92.81
SET       4.900        93.42
SET       5.000        93.85
SET       5.100        94.28
SET       5.200        94.70
SET       5.300        95.05
SET       5.400        95.32
SET       5.500        95.58
SET       5.600        95.89
SET       5.700        96.18
SET       5.800        96.48
SET       5.900        96.62
SET       6.000        96.81
SET       6.100        96.98
SET       6.200        97.10
SET       6.300        97.26
SET       6.400        97.39
SET       6.500        97.51
SET       6.600        97.62
SET       6.700        97.69
SET       6.800        97.79
SET       6.900        97.86
SET       7.000        97.93
SET       7.100        98.03
SET       7.200        98.10
SET       7.300        98.18
SET       7.400        98.26
SET       7.500        98.30
SET       7.600        98.38
SET       7.700        98.46
SET       7.800        98.53
SET       7.900        98.61
SET       8.000        98.70
SET       8.100        98.76
SET       8.200        98.82
SET       8.300        98.89
SET       8.400        98.95
SET       8.500        99.00
SET       8.600        99.06
SET       8.700        99.08
SET       8.800        99.13
SET       8.900        99.16
SET       9.000        99.19
SET       9.100        99.25
SET       9.200        99.30
SET       9.300        99.34
SET       9.400        99.39
