1         Threads
2         Connections per thread
60        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         263.08          ---          ---      3.80500       273.46
Gets         263.08      1546.27        32.22      3.77900      1612.33
Waits          0.00          ---          ---      0.00000          ---
Totals       526.16      1546.27        32.22      3.79200      1885.79


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       2.100         0.09
SET       2.200         0.84
SET       2.300         3.50
SET       2.400         9.06
SET       2.500        17.20
SET       2.600        27.68
SET       2.700        38.62
SET       2.800        48.74
SET       2.900        56.89
SET       3.000        63.74
SET       3.100        68.76
SET       3.200        72.66
SET       3.300        75.76
SET       3.400        78.16
SET       3.500        79.94
SET       3.600        81.57
SET       3.700        82.63
SET       3.800        83.49
SET       3.900        84.33
SET       4.000        84.93
SET       4.100        85.38
SET       4.200        85.82
SET       4.300        86.16
SET       4.400        86.49
SET       4.500        86.75
SET       4.600        87.03
SET       4.700        87.26
SET       4.800        87.48
SET       4.900        87.72
SET       5.000        87.84
SET       5.100        87.99
SET       5.200        88.13
SET       5.300        88.24
SET       5.400        88.36
SET       5.500        88.43
SET       5.600        88.53
SET       5.700        88.60
SET       5.800        88.66
SET       5.900        88.76
SET       6.000        88.84
SET       6.100        88.93
SET       6.200        88.98
SET       6.300        89.05
SET       6.400        89.09
SET       6.500        89.14
SET       6.600        89.17
SET       6.700        89.22
SET       6.800        89.24
SET       6.900        89.27
SET       7.000        89.33
SET       7.100        89.38
SET       7.200        89.40
SET       7.300        89.44
SET       7.400        89.48
SET       7.500        89.53
SET       7.600        89.60
SET       7.700        89.79
SET       7.800        89.91
SET       7.900        90.09
SET       8.000        90.34
SET       8.100        90.59
SET       8.200        90.89
SET       8.300        91.17
SET       8.400        91.50
SET       8.500        91.80
SET       8.600        92.02
SET       8.700        92.23
SET       8.800        92.42
SET       8.900        92.74
SET       9.000        92.98
SET       9.100        93.31
SET       9.200        93.66
SET       9.300        94.05
SET       9.400        94.58
SET       9.500        95.09
SET       9.600        95.66
SET       9.700        96.17
SET       9.800        96.76
SET       9.900        97.18
SET      10.000        98.82
SET      11.000        99.30
SET      12.000        99.44
SET      13.000        99.50
SET      14.000        99.54
SET      15.000        99.58
SET      16.000        99.62
SET      17.000        99.66
SET      18.000        99.68
SET      19.000        99.77
SET      20.000        99.84
SET      21.000        99.84
SET      23.000        99.85
SET      24.000        99.87
SET      28.000        99.87
SET      29.000        99.88
SET      33.000        99.90
SET      43.000        99.91
SET      47.000        99.93
SET      50.000        99.94
SET      51.000        99.95
SET      54.000        99.96
SET      56.000        99.97
SET      57.000        99.97
SET      65.000        99.98
SET      80.000        99.99
SET    1400.000       100.00
---
GET       2.100         0.10
GET       2.200         0.61
GET       2.300         2.65
GET       2.400         7.70
GET       2.500        15.67
GET       2.600        25.54
GET       2.700        36.45
GET       2.800        46.65
GET       2.900        55.57
GET       3.000        62.83
GET       3.100        68.60
GET       3.200        72.79
GET       3.300        76.01
GET       3.400        78.40
GET       3.500        80.27
GET       3.600        81.77
GET       3.700        82.90
GET       3.800        83.86
GET       3.900        84.69
GET       4.000        85.25
GET       4.100        85.87
GET       4.200        86.34
GET       4.300        86.75
GET       4.400        87.04
GET       4.500        87.34
GET       4.600        87.69
GET       4.700        87.87
GET       4.800        88.12
GET       4.900        88.34
GET       5.000        88.50
GET       5.100        88.62
GET       5.200        88.70
GET       5.300        88.86
GET       5.400        88.95
GET       5.500        89.03
GET       5.600        89.09
GET       5.700        89.15
GET       5.800        89.22
GET       5.900        89.29
GET       6.000        89.36
GET       6.100        89.40
GET       6.200        89.48
GET       6.300        89.55
GET       6.400        89.63
GET       6.500        89.66
GET       6.600        89.72
GET       6.700        89.76
GET       6.800        89.81
GET       6.900        89.88
GET       7.000        89.93
GET       7.100        90.00
GET       7.200        90.02
GET       7.300        90.09
GET       7.400        90.14
GET       7.500        90.19
GET       7.600        90.28
GET       7.700        90.43
GET       7.800        90.62
GET       7.900        90.82
GET       8.000        91.07
GET       8.100        91.34
GET       8.200        91.61
GET       8.300        91.82
GET       8.400        92.09
GET       8.500        92.38
GET       8.600        92.55
GET       8.700        92.81
GET       8.800        93.01
GET       8.900        93.26
GET       9.000        93.57
GET       9.100        93.89
GET       9.200        94.24
GET       9.300        94.62
GET       9.400        95.08
GET       9.500        95.57
GET       9.600        96.06
GET       9.700        96.45
GET       9.800        97.10
GET       9.900        97.56
GET      10.000        98.86
GET      11.000        99.27
GET      12.000        99.47
GET      13.000        99.52
GET      14.000        99.58
GET      15.000        99.60
GET      16.000        99.63
GET      17.000        99.65
GET      18.000        99.68
GET      19.000        99.73
GET      20.000        99.78
GET      21.000        99.80
GET      23.000        99.82
GET      24.000        99.83
GET      25.000        99.85
GET      26.000        99.86
GET      27.000        99.88
GET      28.000        99.89
GET      29.000        99.91
GET      33.000        99.92
GET      39.000        99.94
GET      40.000        99.94
GET      42.000        99.95
GET      43.000        99.96
GET      45.000        99.97
GET      51.000        99.97
GET      66.000        99.98
GET     120.000        99.99
GET    1400.000       100.00
---
