1         Threads
2         Connections per thread
60        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         132.81          ---          ---      7.88600       138.05
Gets         132.81      1193.01         2.27      7.15300      1243.00
Waits          0.00          ---          ---      0.00000          ---
Totals       265.62      1193.01         2.27      7.52000      1381.05


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       5.100         0.08
SET       5.200         0.19
SET       5.300         0.44
SET       5.400         1.10
SET       5.500         2.13
SET       5.600         3.61
SET       5.700         5.55
SET       5.800         8.06
SET       5.900        11.72
SET       6.000        15.84
SET       6.100        19.58
SET       6.200        23.43
SET       6.300        26.97
SET       6.400        30.84
SET       6.500        34.50
SET       6.600        38.34
SET       6.700        41.91
SET       6.800        45.69
SET       6.900        49.28
SET       7.000        52.87
SET       7.100        56.16
SET       7.200        58.74
SET       7.300        61.54
SET       7.400        63.81
SET       7.500        65.99
SET       7.600        68.08
SET       7.700        70.41
SET       7.800        72.29
SET       7.900        74.26
SET       8.000        76.35
SET       8.100        77.60
SET       8.200        78.83
SET       8.300        80.07
SET       8.400        81.42
SET       8.500        82.36
SET       8.600        83.34
SET       8.700        84.39
SET       8.800        85.13
SET       8.900        86.08
SET       9.000        86.95
SET       9.100        87.53
SET       9.200        88.08
SET       9.300        88.61
SET       9.400        89.06
SET       9.500        89.50
SET       9.600        89.97
SET       9.700        90.41
SET       9.800        90.85
SET       9.900        91.30
SET      10.000        93.20
SET      11.000        95.71
SET      12.000        97.08
SET      13.000        98.03
SET      14.000        98.51
SET      15.000        98.82
SET      16.000        99.06
SET      17.000        99.26
SET      18.000        99.35
SET      19.000        99.44
SET      20.000        99.50
SET      21.000        99.61
SET      22.000        99.65
SET      23.000        99.66
SET      26.000        99.67
SET      27.000        99.71
SET      28.000        99.74
SET      30.000        99.75
SET      33.000        99.76
SET      34.000        99.79
SET      36.000        99.80
SET      37.000        99.82
SET      43.000        99.84
SET      49.000        99.85
SET      54.000        99.86
SET      92.000        99.87
SET     120.000        99.90
SET     130.000        99.91
SET     200.000        99.92
SET     230.000        99.94
SET     270.000        99.95
SET     400.000        99.99
SET     650.000       100.00
---
GET       4.400         0.05
GET       4.500         0.15
GET       4.600         0.45
GET       4.700         0.93
GET       4.800         1.97
GET       4.900         3.34
GET       5.000         5.50
GET       5.100         8.08
GET       5.200        10.74
GET       5.300        13.80
GET       5.400        17.49
GET       5.500        21.01
GET       5.600        24.81
GET       5.700        28.57
GET       5.800        32.30
GET       5.900        36.27
GET       6.000        40.24
GET       6.100        44.26
GET       6.200        47.67
GET       6.300        51.05
GET       6.400        54.21
GET       6.500        56.95
GET       6.600        59.84
GET       6.700        62.23
GET       6.800        64.84
GET       6.900        66.91
GET       7.000        69.75
GET       7.100        71.84
GET       7.200        73.79
GET       7.300        75.49
GET       7.400        76.96
GET       7.500        78.40
GET       7.600        79.34
GET       7.700        80.57
GET       7.800        81.48
GET       7.900        82.47
GET       8.000        83.67
GET       8.100        84.70
GET       8.200        85.44
GET       8.300        86.12
GET       8.400        86.77
GET       8.500        87.26
GET       8.600        87.82
GET       8.700        88.15
GET       8.800        88.67
GET       8.900        89.27
GET       9.000        89.81
GET       9.100        90.45
GET       9.200        90.99
GET       9.300        91.44
GET       9.400        91.99
GET       9.500        92.26
GET       9.600        92.60
GET       9.700        93.02
GET       9.800        93.37
GET       9.900        93.79
GET      10.000        95.08
GET      11.000        96.85
GET      12.000        97.84
GET      13.000        98.41
GET      14.000        98.85
GET      15.000        99.17
GET      16.000        99.30
GET      17.000        99.50
GET      18.000        99.62
GET      19.000        99.66
GET      20.000        99.69
GET      22.000        99.70
GET      23.000        99.71
GET      24.000        99.74
GET      25.000        99.77
GET      27.000        99.81
GET      31.000        99.84
GET      32.000        99.85
GET      33.000        99.86
GET      42.000        99.87
GET      62.000        99.89
GET      67.000        99.90
GET     130.000        99.91
GET     190.000        99.92
GET     220.000        99.94
GET     230.000        99.95
GET     270.000        99.96
GET     310.000        99.97
GET     400.000        99.99
GET     650.000       100.00
---
