1         Threads
2         Connections per thread
60        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         137.65          ---          ---      7.62300       143.08
Gets         137.63      1236.25         2.42      6.88500      1288.06
Waits          0.00          ---          ---      0.00000          ---
Totals       275.28      1236.25         2.42      7.25400      1431.13


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       5.100         0.10
SET       5.200         0.42
SET       5.300         1.09
SET       5.400         2.34
SET       5.500         4.15
SET       5.600         6.72
SET       5.700        10.13
SET       5.800        13.80
SET       5.900        17.85
SET       6.000        22.79
SET       6.100        27.23
SET       6.200        31.82
SET       6.300        36.22
SET       6.400        40.22
SET       6.500        44.81
SET       6.600        48.84
SET       6.700        52.38
SET       6.800        55.65
SET       6.900        59.01
SET       7.000        61.98
SET       7.100        64.84
SET       7.200        67.22
SET       7.300        69.62
SET       7.400        71.68
SET       7.500        73.25
SET       7.600        75.24
SET       7.700        76.76
SET       7.800        78.35
SET       7.900        80.03
SET       8.000        81.17
SET       8.100        82.19
SET       8.200        82.99
SET       8.300        83.91
SET       8.400        84.78
SET       8.500        85.56
SET       8.600        86.49
SET       8.700        87.13
SET       8.800        87.80
SET       8.900        88.32
SET       9.000        88.84
SET       9.100        89.36
SET       9.200        89.77
SET       9.300        90.25
SET       9.400        90.69
SET       9.500        91.09
SET       9.600        91.46
SET       9.700        91.80
SET       9.800        92.23
SET       9.900        92.59
SET      10.000        94.22
SET      11.000        96.33
SET      12.000        97.55
SET      13.000        98.37
SET      14.000        98.73
SET      15.000        98.98
SET      16.000        99.15
SET      17.000        99.29
SET      18.000        99.32
SET      19.000        99.38
SET      20.000        99.44
SET      21.000        99.48
SET      22.000        99.52
SET      23.000        99.55
SET      24.000        99.58
SET      25.000        99.60
SET      26.000        99.65
SET      27.000        99.66
SET      28.000        99.69
SET      29.000        99.71
SET      30.000        99.72
SET      32.000        99.73
SET      34.000        99.75
SET      35.000        99.76
SET      36.000        99.77
SET      42.000        99.79
SET      43.000        99.81
SET      50.000        99.82
SET      60.000        99.83
SET      62.000        99.84
SET      67.000        99.85
SET     120.000        99.88
SET     130.000        99.90
SET     140.000        99.93
SET     200.000        99.94
SET     230.000        99.95
SET     400.000        99.99
SET     650.000       100.00
---
GET       4.400         0.02
GET       4.500         0.15
GET       4.600         0.65
GET       4.700         1.68
GET       4.800         3.43
GET       4.900         6.08
GET       5.000         9.42
GET       5.100        12.81
GET       5.200        16.86
GET       5.300        21.12
GET       5.400        25.74
GET       5.500        29.87
GET       5.600        34.19
GET       5.700        38.33
GET       5.800        42.67
GET       5.900        46.40
GET       6.000        50.15
GET       6.100        53.66
GET       6.200        56.84
GET       6.300        59.74
GET       6.400        62.50
GET       6.500        64.89
GET       6.600        67.35
GET       6.700        69.56
GET       6.800        71.35
GET       6.900        73.53
GET       7.000        75.22
GET       7.100        76.75
GET       7.200        78.23
GET       7.300        79.64
GET       7.400        80.96
GET       7.500        81.97
GET       7.600        83.11
GET       7.700        83.97
GET       7.800        84.80
GET       7.900        85.52
GET       8.000        86.45
GET       8.100        87.07
GET       8.200        87.76
GET       8.300        88.44
GET       8.400        88.79
GET       8.500        89.23
GET       8.600        89.82
GET       8.700        90.40
GET       8.800        90.76
GET       8.900        91.06
GET       9.000        91.61
GET       9.100        91.98
GET       9.200        92.30
GET       9.300        92.64
GET       9.400        92.98
GET       9.500        93.38
GET       9.600        93.61
GET       9.700        93.87
GET       9.800        94.22
GET       9.900        94.51
GET      10.000        95.83
GET      11.000        97.26
GET      12.000        98.18
GET      13.000        98.68
GET      14.000        98.99
GET      15.000        99.19
GET      16.000        99.35
GET      17.000        99.47
GET      18.000        99.53
GET      19.000        99.64
GET      20.000        99.69
GET      22.000        99.71
GET      23.000        99.72
GET      24.000        99.78
GET      26.000        99.81
GET      32.000        99.82
GET      33.000        99.84
GET      38.000        99.85
GET      39.000        99.87
GET      47.000        99.88
GET      53.000        99.89
GET      61.000        99.90
GET     180.000        99.93
GET     200.000        99.94
GET     230.000        99.95
GET     270.000        99.98
GET     400.000        99.99
GET     650.000       100.00
---
