1         Threads
2         Connections per thread
60        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         139.96          ---          ---      7.78300       145.48
Gets         139.94       837.63         2.03      6.48600       873.19
Waits          0.00          ---          ---      0.00000          ---
Totals       279.90       837.63         2.03      7.13500      1018.67


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       5.000         0.04
SET       5.100         0.17
SET       5.200         0.77
SET       5.300         1.95
SET       5.400         4.10
SET       5.500         6.64
SET       5.600        10.32
SET       5.700        14.21
SET       5.800        18.66
SET       5.900        23.61
SET       6.000        28.58
SET       6.100        33.10
SET       6.200        37.53
SET       6.300        41.32
SET       6.400        45.65
SET       6.500        49.80
SET       6.600        53.32
SET       6.700        56.51
SET       6.800        59.93
SET       6.900        62.76
SET       7.000        65.35
SET       7.100        67.62
SET       7.200        69.71
SET       7.300        71.90
SET       7.400        73.78
SET       7.500        75.42
SET       7.600        76.93
SET       7.700        78.22
SET       7.800        79.53
SET       7.900        80.59
SET       8.000        81.63
SET       8.100        82.75
SET       8.200        83.66
SET       8.300        84.33
SET       8.400        85.00
SET       8.500        85.60
SET       8.600        86.15
SET       8.700        86.62
SET       8.800        87.21
SET       8.900        87.79
SET       9.000        88.47
SET       9.100        88.93
SET       9.200        89.35
SET       9.300        89.78
SET       9.400        90.24
SET       9.500        90.68
SET       9.600        91.07
SET       9.700        91.49
SET       9.800        91.80
SET       9.900        92.19
SET      10.000        93.86
SET      11.000        95.86
SET      12.000        97.04
SET      13.000        97.73
SET      14.000        98.17
SET      15.000        98.56
SET      16.000        98.83
SET      17.000        99.12
SET      18.000        99.26
SET      19.000        99.38
SET      20.000        99.46
SET      21.000        99.48
SET      22.000        99.50
SET      23.000        99.54
SET      24.000        99.56
SET      25.000        99.60
SET      26.000        99.62
SET      27.000        99.64
SET      28.000        99.67
SET      29.000        99.68
SET      31.000        99.70
SET      32.000        99.74
SET      33.000        99.75
SET      34.000        99.76
SET      35.000        99.79
SET      38.000        99.80
SET      40.000        99.81
SET      44.000        99.82
SET      47.000        99.83
SET      69.000        99.85
SET      73.000        99.86
SET      79.000        99.87
SET      82.000        99.88
SET     110.000        99.90
SET     120.000        99.92
SET     140.000        99.93
SET     230.000        99.94
SET     240.000        99.95
SET     380.000        99.98
SET    1500.000       100.00
---
GET       4.200         0.04
GET       4.300         0.19
GET       4.400         0.85
GET       4.500         2.20
GET       4.600         4.57
GET       4.700         7.71
GET       4.800        11.48
GET       4.900        16.15
GET       5.000        20.52
GET       5.100        25.15
GET       5.200        29.64
GET       5.300        34.24
GET       5.400        38.81
GET       5.500        42.73
GET       5.600        46.71
GET       5.700        50.08
GET       5.800        53.55
GET       5.900        56.46
GET       6.000        59.76
GET       6.100        62.28
GET       6.200        65.01
GET       6.300        67.13
GET       6.400        69.23
GET       6.500        71.50
GET       6.600        73.34
GET       6.700        74.93
GET       6.800        76.24
GET       6.900        77.66
GET       7.000        78.99
GET       7.100        80.09
GET       7.200        81.14
GET       7.300        82.20
GET       7.400        83.22
GET       7.500        84.18
GET       7.600        84.92
GET       7.700        85.57
GET       7.800        86.16
GET       7.900        86.80
GET       8.000        87.44
GET       8.100        88.11
GET       8.200        88.67
GET       8.300        89.01
GET       8.400        89.50
GET       8.500        89.92
GET       8.600        90.34
GET       8.700        90.78
GET       8.800        91.22
GET       8.900        91.53
GET       9.000        91.91
GET       9.100        92.25
GET       9.200        92.66
GET       9.300        93.02
GET       9.400        93.38
GET       9.500        93.66
GET       9.600        93.85
GET       9.700        94.20
GET       9.800        94.45
GET       9.900        94.71
GET      10.000        95.93
GET      11.000        97.23
GET      12.000        98.11
GET      13.000        98.65
GET      14.000        99.05
GET      15.000        99.29
GET      16.000        99.36
GET      17.000        99.52
GET      18.000        99.57
GET      19.000        99.71
GET      20.000        99.77
GET      21.000        99.80
GET      22.000        99.81
GET      23.000        99.82
GET      24.000        99.85
GET      25.000        99.88
GET      26.000        99.89
GET      27.000        99.92
GET      30.000        99.93
GET      32.000        99.94
GET      43.000        99.95
GET      77.000        99.96
GET      81.000        99.98
GET     550.000        99.99
GET     560.000       100.00
---
