1         Threads
2         Connections per thread
60        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         351.73          ---          ---      3.12600       365.60
Gets         351.71      2093.81        16.45      2.54100      2182.88
Waits          0.00          ---          ---      0.00000          ---
Totals       703.44      2093.81        16.45      2.83300      2548.48


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       2.000         0.09
SET       2.100         1.50
SET       2.200         6.18
SET       2.300        15.96
SET       2.400        28.10
SET       2.500        40.85
SET       2.600        50.91
SET       2.700        59.01
SET       2.800        64.75
SET       2.900        68.91
SET       3.000        72.28
SET       3.100        74.72
SET       3.200        76.89
SET       3.300        78.75
SET       3.400        80.33
SET       3.500        81.59
SET       3.600        82.88
SET       3.700        84.03
SET       3.800        85.11
SET       3.900        86.08
SET       4.000        86.94
SET       4.100        87.84
SET       4.200        88.64
SET       4.300        89.47
SET       4.400        90.16
SET       4.500        90.83
SET       4.600        91.54
SET       4.700        92.18
SET       4.800        92.70
SET       4.900        93.34
SET       5.000        93.94
SET       5.100        94.43
SET       5.200        94.80
SET       5.300        95.20
SET       5.400        95.52
SET       5.500        95.84
SET       5.600        96.09
SET       5.700        96.31
SET       5.800        96.56
SET       5.900        96.74
SET       6.000        96.86
SET       6.100        97.02
SET       6.200        97.13
SET       6.300        97.28
SET       6.400        97.40
SET       6.500        97.53
SET       6.600        97.67
SET       6.700        97.79
SET       6.800        97.87
SET       6.900        97.97
SET       7.000        98.01
SET       7.100        98.10
SET       7.200        98.17
SET       7.300        98.24
SET       7.400        98.28
SET       7.500        98.32
SET       7.600        98.38
SET       7.700        98.46
SET       7.800        98.52
SET       7.900        98.58
SET       8.000        98.62
SET       8.100        98.65
SET       8.200        98.70
SET       8.300        98.74
SET       8.400        98.78
SET       8.500        98.81
SET       8.600        98.84
SET       8.700        98.91
SET       8.800        98.95
SET       8.900        98.99
SET       9.000        99.03
SET       9.100        99.09
SET       9.200        99.15
SET       9.300        99.19
SET       9.400        99.21
SET       9.500        99.25
SET       9.600        99.30
SET       9.700        99.35
SET       9.800        99.38
SET       9.900        99.40
SET      10.000        99.52
SET      11.000        99.65
SET      12.000        99.75
SET      13.000        99.78
SET      14.000        99.82
SET      15.000        99.85
SET      16.000        99.87
SET      17.000        99.88
SET      18.000        99.89
SET      19.000        99.90
SET      20.000        99.92
SET      21.000        99.93
SET      22.000        99.93
SET      24.000        99.94
SET      25.000        99.94
SET      28.000        99.95
SET      33.000        99.96
SET      35.000        99.96
SET      36.000        99.97
SET      45.000        99.97
SET      52.000        99.98
SET      59.000        99.99
SET     200.000        99.99
SET     270.000       100.00
---
GET       0.590         0.00
GET       0.610         0.01
GET       0.630         0.02
GET       0.670         0.04
GET       0.680         0.07
GET       0.690         0.09
GET       0.700         0.11
GET       0.710         0.14
GET       0.720         0.17
GET       0.730         0.21
GET       0.740         0.24
GET       0.750         0.30
GET       0.760         0.34
GET       0.770         0.39
GET       0.780         0.50
GET       0.790         0.64
GET       0.800         0.76
GET       0.810         0.86
GET       0.820         0.98
GET       0.830         1.18
GET       0.840         1.34
GET       0.850         1.53
GET       0.860         1.81
GET       0.870         2.00
GET       0.880         2.21
GET       0.890         2.49
GET       0.900         2.81
GET       0.910         3.06
GET       0.920         3.33
GET       0.930         3.68
GET       0.940         3.96
GET       0.950         4.25
