1         Threads
2         Connections per thread
60        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         279.38          ---          ---      4.00500       290.39
Gets         279.36       833.34         4.73      3.13700       870.13
Waits          0.00          ---          ---      0.00000          ---
Totals       558.73       833.34         4.73      3.57100      1160.52


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       2.100         0.11
SET       2.200         1.10
SET       2.300         5.30
SET       2.400        12.80
SET       2.500        23.32
SET       2.600        34.06
SET       2.700        44.05
SET       2.800        52.44
SET       2.900        58.69
SET       3.000        63.46
SET       3.100        66.82
SET       3.200        69.62
SET       3.300        71.87
SET       3.400        73.37
SET       3.500        74.77
SET       3.600        75.80
SET       3.700        76.69
SET       3.800        77.40
SET       3.900        78.04
SET       4.000        78.61
SET       4.100        79.10
SET       4.200        79.55
SET       4.300        79.96
SET       4.400        80.28
SET       4.500        80.76
SET       4.600        81.01
SET       4.700        81.30
SET       4.800        81.55
SET       4.900        81.82
SET       5.000        82.13
SET       5.100        82.37
SET       5.200        82.63
SET       5.300        82.78
SET       5.400        83.02
SET       5.500        83.27
SET       5.600        83.37
SET       5.700        83.55
SET       5.800        83.70
SET       5.900        83.85
SET       6.000        83.95
SET       6.100        84.03
SET       6.200        84.13
SET       6.300        84.22
SET       6.400        84.30
SET       6.500        84.38
SET       6.600        84.45
SET       6.700        84.54
SET       6.800        84.59
SET       6.900        84.65
SET       7.000        84.67
SET       7.100        84.73
SET       7.200        84.80
SET       7.300        84.84
SET       7.400        84.91
SET       7.500        85.00
SET       7.600        85.12
SET       7.700        85.33
SET       7.800        85.60
SET       7.900        85.88
SET       8.000        86.24
SET       8.100        86.64
SET       8.200        86.99
SET       8.300        87.48
SET       8.400        88.00
SET       8.500        88.46
SET       8.600        88.96
SET       8.700        89.43
SET       8.800        89.98
SET       8.900        90.33
SET       9.000        90.82
SET       9.100        91.37
SET       9.200        91.88
SET       9.300        92.56
SET       9.400        93.24
SET       9.500        93.99
SET       9.600        94.79
SET       9.700        95.48
SET       9.800        96.30
SET       9.900        96.86
SET      10.000        98.59
SET      11.000        99.19
SET      12.000        99.46
SET      13.000        99.54
SET      14.000        99.58
SET      15.000        99.62
SET      16.000        99.65
SET      17.000        99.68
SET      18.000        99.71
SET      19.000        99.75
SET      20.000        99.76
SET      22.000        99.76
SET      23.000        99.77
SET      24.000        99.78
SET      25.000        99.79
SET      28.000        99.80
SET      29.000        99.84
SET      30.000        99.86
SET      34.000        99.86
SET      35.000        99.87
SET      37.000        99.88
SET      38.000        99.89
SET      40.000        99.89
SET      41.000        99.90
SET      42.000        99.90
SET      44.000        99.91
SET      48.000        99.92
SET      49.000        99.92
SET      51.000        99.93
SET      54.000        99.93
SET      57.000        99.94
SET      58.000        99.95
SET      62.000        99.96
SET      68.000        99.96
SET      70.000        99.98
SET      71.000        99.98
SET      86.000        99.99
SET     100.000       100.00
---
GET       0.640         0.01
GET       0.680         0.01
GET       0.690         0.02
GET       0.710         0.04
GET       0.720         0.04
GET       0.730         0.09
GET       0.740         0.14
GET       0.750         0.15
GET       0.760         0.19
GET       0.770         0.22
GET       0.780         0.28
GET       0.790         0.37
GET       0.800         0.42
GET       0.810         0.52
GET       0.820         0.63
GET       0.830         0.75
GET       0.840         0.89
GET       0.850         1.08
GET       0.860         1.28
GET       0.870         1.45
GET       0.880         1.63
GET       0.890         1.87
GET       0.900         2.14
GET       0.910         2.34
GET       0.920         2.67
GET       0.930         2.98
GET       0.940         3.29
GET       0.950         3.65
GET       0.960         4.00
GET       0.970         4.36
GET       0.980         4.72
GET       0.990         5.09
GET       1.000         7.43
GET       1.100        11.63
GET       1.200        15.28
GET       1.300        18.49
GET       1.400        20.67
GET       1.500        22.62
GET       1.600        24.08
GET       1.700        24.99
GET       1.800        25.75
GET       1.900        26.29
GET       2.000        26.76
GET       2.100        28.10
GET       2.200        31.68
GET       2.300        38.10
GET       2.400        46.24
GET       2.500        54.71
GET       2.600        61.95
GET       2.700        67.61
GET       2.800        71.93
GET       2.900        75.10
GET       3.000        77.56
GET       3.100        79.21
GET       3.200        80.59
GET       3.300        81.63
GET       3.400        82.46
GET       3.500        83.09
GET       3.600        83.56
GET       3.700        84.07
GET       3.800        84.49
GET       3.900        84.88
GET       4.000        85.24
GET       4.100        85.51
GET       4.200        85.85
GET       4.300        86.14
GET       4.400        86.34
GET       4.500        86.54
GET       4.600        86.76
GET       4.700        86.91
GET       4.800        87.08
GET       4.900        87.26
GET       5.000        87.42
GET       5.100        87.57
GET       5.200        87.73
GET       5.300        87.87
GET       5.400        87.99
GET       5.500        88.09
GET       5.600        88.19
GET       5.700        88.32
GET       5.800        88.40
GET       5.900        88.53
GET       6.000        88.57
GET       6.100        88.64
GET       6.200        88.70
GET       6.300        88.77
GET       6.400        88.83
GET       6.500        88.89
GET       6.600        88.92
GET       6.700        89.00
GET       6.800        89.02
GET       6.900        89.03
GET       7.000        89.14
GET       7.100        89.15
GET       7.200        89.20
GET       7.300        89.25
GET       7.400        89.30
GET       7.500        89.39
GET       7.600        89.52
GET       7.700        89.80
GET       7.800        90.18
GET       7.900        90.46
GET       8.000        90.91
GET       8.100        91.34
GET       8.200        91.82
GET       8.300        92.28
GET       8.400        92.85
GET       8.500        93.18
GET       8.600        93.64
GET       8.700        94.00
GET       8.800        94.41
GET       8.900        94.74
GET       9.000        95.10
GET       9.100        95.42
GET       9.200        95.81
GET       9.300        96.37
GET       9.400        96.76
GET       9.500        97.27
GET       9.600        97.62
GET       9.700        98.06
GET       9.800        98.38
GET       9.900        98.60
GET      10.000        99.19
GET      11.000        99.45
GET      12.000        99.66
GET      13.000        99.70
GET      14.000        99.73
GET      15.000        99.74
GET      16.000        99.75
GET      17.000        99.76
GET      19.000        99.77
GET      20.000        99.78
GET      21.000        99.79
GET      22.000        99.79
GET      23.000        99.80
GET      24.000        99.80
GET      26.000        99.82
GET      28.000        99.86
GET      29.000        99.89
GET      31.000        99.90
GET      32.000        99.90
GET      34.000        99.91
GET      41.000        99.92
GET      42.000        99.93
GET      43.000        99.93
GET      48.000        99.94
GET      51.000        99.95
GET      57.000        99.96
GET      58.000        99.96
GET      68.000        99.97
GET      70.000        99.98
