1         Threads
2         Connections per thread
60        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         346.20          ---          ---      3.33100       359.85
Gets         346.18       344.21         1.97      2.42900       361.66
Waits          0.00          ---          ---      0.00000          ---
Totals       692.38       344.21         1.97      2.88000       721.51


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.900         0.00
SET       2.000         0.08
SET       2.100         1.27
SET       2.200         6.16
SET       2.300        16.64
SET       2.400        29.72
SET       2.500        41.40
SET       2.600        51.06
SET       2.700        58.21
SET       2.800        63.92
SET       2.900        68.25
SET       3.000        71.56
SET       3.100        74.30
SET       3.200        76.45
SET       3.300        78.31
SET       3.400        79.92
SET       3.500        81.27
SET       3.600        82.60
SET       3.700        83.65
SET       3.800        84.59
SET       3.900        85.51
SET       4.000        86.31
SET       4.100        87.10
SET       4.200        87.80
SET       4.300        88.49
SET       4.400        89.11
SET       4.500        89.56
SET       4.600        90.12
SET       4.700        90.62
SET       4.800        91.07
SET       4.900        91.49
SET       5.000        91.87
SET       5.100        92.28
SET       5.200        92.78
SET       5.300        93.29
SET       5.400        93.64
SET       5.500        93.93
SET       5.600        94.20
SET       5.700        94.39
SET       5.800        94.67
SET       5.900        94.89
SET       6.000        95.09
SET       6.100        95.32
SET       6.200        95.46
SET       6.300        95.63
SET       6.400        95.77
SET       6.500        95.89
SET       6.600        96.01
SET       6.700        96.09
SET       6.800        96.25
SET       6.900        96.38
SET       7.000        96.50
SET       7.100        96.61
SET       7.200        96.75
SET       7.300        96.82
SET       7.400        96.89
SET       7.500        96.98
SET       7.600        97.10
SET       7.700        97.18
SET       7.800        97.32
SET       7.900        97.43
SET       8.000        97.54
SET       8.100        97.65
SET       8.200        97.79
SET       8.300        97.90
SET       8.400        97.96
SET       8.500        98.06
SET       8.600        98.18
SET       8.700        98.28
SET       8.800        98.34
SET       8.900        98.44
SET       9.000        98.52
SET       9.100        98.64
SET       9.200        98.73
SET       9.300        98.83
SET       9.400        98.93
SET       9.500        99.03
SET       9.600        99.11
SET       9.700        99.19
SET       9.800        99.25
SET       9.900        99.30
SET      10.000        99.52
SET      11.000        99.74
SET      12.000        99.85
SET      13.000        99.89
SET      14.000        99.92
SET      15.000        99.94
SET      16.000        99.95
SET      17.000        99.96
SET      20.000        99.97
SET      22.000        99.97
SET      23.000        99.98
SET      35.000        99.98
SET     210.000        99.99
SET    1600.000       100.00
SET    1700.000       100.00
---
GET       0.490         0.01
GET       0.500         0.03
GET       0.510         0.04
GET       0.520         0.06
GET       0.530         0.07
GET       0.540         0.09
GET       0.550         0.12
GET       0.560         0.14
GET       0.570         0.20
GET       0.580         0.26
GET       0.590         0.36
GET       0.600         0.47
GET       0.610         0.59
GET       0.620         0.73
GET       0.630         0.89
GET       0.640         1.04
GET       0.650         1.17
GET       0.660         1.33
GET       0.670         1.51
GET       0.680         1.72
GET       0.690         1.92
GET       0.700         2.10
GET       0.710         2.34
GET       0.720         2.63
GET       0.730         2.93
GET       0.740         3.18
GET       0.750         3.50
GET       0.760         3.81
GET       0.770         4.28
GET       0.780         4.61
GET       0.790         4.94
GET       0.800         5.30
GET       0.810         5.71
GET       0.820         6.05
GET       0.830         6.50
GET       0.840         7.02
GET       0.850         7.56
GET       0.860         7.98
GET       0.870         8.42
GET       0.880         8.84
GET       0.890         9.30
GET       0.900         9.82
GET       0.910        10.29
GET       0.920        10.74
GET       0.930        11.15
GET       0.940        11.62
GET       0.950        12.00
GET       0.960        12.35
GET       0.970        12.71
GET       0.980        12.98
GET       0.990        13.42
GET       1.000        15.33
GET       1.100        17.79
GET       1.200        19.69
GET       1.300        20.87
GET       1.400        21.70
GET       1.500        22.52
GET       1.600        23.10
GET       1.700        24.09
GET       1.800        26.61
GET       1.900        31.23
GET       2.000        37.02
GET       2.100        44.88
GET       2.200        53.75
GET       2.300        61.47
GET       2.400        67.56
GET       2.500        72.01
GET       2.600        75.68
GET       2.700        78.26
GET       2.800        80.51
GET       2.900        82.14
GET       3.000        83.51
GET       3.100        84.70
GET       3.200        85.72
GET       3.300        86.61
GET       3.400        87.36
GET       3.500        88.09
GET       3.600        88.73
GET       3.700        89.29
GET       3.800        89.94
GET       3.900        90.47
GET       4.000        90.98
GET       4.100        91.35
GET       4.200        91.85
GET       4.300        92.27
GET       4.400        92.62
GET       4.500        92.96
GET       4.600        93.25
GET       4.700        93.60
GET       4.800        93.95
GET       4.900        94.23
GET       5.000        94.50
GET       5.100        94.81
GET       5.200        95.01
GET       5.300        95.30
GET       5.400        95.59
GET       5.500        95.82
GET       5.600        96.07
GET       5.700        96.24
GET       5.800        96.42
GET       5.900        96.52
GET       6.000        96.68
GET       6.100        96.82
GET       6.200        96.96
GET       6.300        97.06
GET       6.400        97.10
GET       6.500        97.18
GET       6.600        97.25
GET       6.700        97.37
GET       6.800        97.44
GET       6.900        97.52
GET       7.000        97.60
GET       7.100        97.71
GET       7.200        97.77
GET       7.300        97.89
GET       7.400        97.95
GET       7.500        98.03
GET       7.600        98.12
GET       7.700        98.18
GET       7.800        98.26
GET       7.900        98.35
GET       8.000        98.42
GET       8.100        98.51
GET       8.200        98.58
GET       8.300        98.64
GET       8.400        98.72
GET       8.500        98.75
GET       8.600        98.81
GET       8.700        98.89
GET       8.800        98.95
GET       8.900        98.96
GET       9.000        99.04
GET       9.100        99.11
GET       9.200        99.17
GET       9.300        99.24
GET       9.400        99.30
GET       9.500        99.40
GET       9.600        99.45
GET       9.700        99.48
GET       9.800        99.50
GET       9.900        99.56
GET      10.000        99.69
GET      11.000        99.78
GET      12.000        99.85
GET      13.000        99.87
GET      14.000        99.89
GET      15.000        99.92
GET      16.000        99.93
GET      17.000        99.94
GET      19.000        99.95
GET      20.000        99.96
GET      21.000        99.97
GET      22.000        99.98
GET      32.000        99.99
GET      33.000       100.00
GET     120.000       100.00
---
