1         Threads
2         Connections per thread
60        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         331.19          ---          ---      3.33200       344.25
Gets         331.16      2957.40        23.02      2.68500      3081.58
Waits          0.00          ---          ---      0.00000          ---
Totals       662.35      2957.40        23.02      3.00900      3425.83


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       2.000         0.10
SET       2.100         1.03
SET       2.200         4.62
SET       2.300        12.83
SET       2.400        23.33
SET       2.500        35.27
SET       2.600        45.26
SET       2.700        53.52
SET       2.800        59.64
SET       2.900        64.23
SET       3.000        68.01
SET       3.100        70.99
SET       3.200        73.17
SET       3.300        75.14
SET       3.400        76.71
SET       3.500        78.14
SET       3.600        79.72
SET       3.700        80.94
SET       3.800        82.02
SET       3.900        83.15
SET       4.000        84.10
SET       4.100        85.06
SET       4.200        86.00
SET       4.300        86.97
SET       4.400        87.77
SET       4.500        88.66
SET       4.600        89.45
SET       4.700        90.24
SET       4.800        90.86
SET       4.900        91.53
SET       5.000        92.24
SET       5.100        92.83
SET       5.200        93.35
SET       5.300        93.82
SET       5.400        94.24
SET       5.500        94.68
SET       5.600        95.06
SET       5.700        95.44
SET       5.800        95.71
SET       5.900        95.96
SET       6.000        96.19
SET       6.100        96.46
SET       6.200        96.68
SET       6.300        96.88
SET       6.400        97.02
SET       6.500        97.18
SET       6.600        97.34
SET       6.700        97.48
SET       6.800        97.55
SET       6.900        97.67
SET       7.000        97.78
SET       7.100        97.89
SET       7.200        97.96
SET       7.300        98.06
SET       7.400        98.14
SET       7.500        98.21
SET       7.600        98.26
SET       7.700        98.33
SET       7.800        98.37
SET       7.900        98.44
SET       8.000        98.51
SET       8.100        98.56
SET       8.200        98.58
SET       8.300        98.60
SET       8.400        98.66
SET       8.500        98.69
SET       8.600        98.73
SET       8.700        98.81
SET       8.800        98.85
SET       8.900        98.91
SET       9.000        98.95
SET       9.100        99.00
SET       9.200        99.04
SET       9.300        99.11
SET       9.400        99.18
SET       9.500        99.20
SET       9.600        99.25
SET       9.700        99.32
SET       9.800        99.34
SET       9.900        99.36
SET      10.000        99.47
SET      11.000        99.57
SET      12.000        99.66
SET      13.000        99.74
SET      14.000        99.79
SET      15.000        99.81
SET      16.000        99.83
SET      17.000        99.84
SET      18.000        99.88
SET      19.000        99.90
SET      20.000        99.91
SET      21.000        99.92
SET      22.000        99.92
SET      24.000        99.93
SET      27.000        99.93
SET      28.000        99.94
SET      32.000        99.95
SET      50.000        99.95
SET      53.000        99.96
SET      55.000        99.96
SET      72.000        99.97
SET      75.000        99.97
SET     100.000        99.98
SET     210.000        99.98
SET     340.000        99.99
SET     890.000       100.00
---
GET       0.700         0.01
GET       0.730         0.01
GET       0.740         0.03
GET       0.750         0.03
GET       0.760         0.06
GET       0.770         0.07
GET       0.790         0.11
GET       0.800         0.15
GET       0.810         0.20
GET       0.820         0.25
GET       0.830         0.28
GET       0.840         0.35
GET       0.850         0.40
GET       0.860         0.43
GET       0.870         0.54
GET       0.880         0.65
GET       0.890         0.76
GET       0.900         0.88
GET       0.910         0.98
GET       0.920         1.14
GET       0.930         1.33
GET       0.940         1.52
GET       0.950         1.71
GET       0.960         1.90
GET       0.970         2.13
GET       0.980         2.40
GET       0.990         2.68
GET       1.000         4.44
GET       1.100         8.30
GET       1.200        12.10
GET       1.300        15.60
GET       1.400        18.04
GET       1.500        19.84
GET       1.600        21.09
GET       1.700        22.05
GET       1.800        22.87
GET       1.900        23.96
GET       2.000        26.17
GET       2.100        29.61
GET       2.200        34.56
GET       2.300        40.98
GET       2.400        48.76
GET       2.500        56.42
GET       2.600        63.12
GET       2.700        68.03
GET       2.800        72.16
GET       2.900        75.15
GET       3.000        77.85
GET       3.100        79.96
GET       3.200        81.61
GET       3.300        83.08
GET       3.400        84.26
GET       3.500        85.32
GET       3.600        86.26
GET       3.700        87.13
GET       3.800        87.96
GET       3.900        88.78
GET       4.000        89.53
GET       4.100        90.11
GET       4.200        90.72
GET       4.300        91.17
GET       4.400        91.68
GET       4.500        92.34
GET       4.600        92.92
GET       4.700        93.45
GET       4.800        93.91
GET       4.900        94.30
GET       5.000        94.73
GET       5.100        95.08
GET       5.200        95.43
GET       5.300        95.74
GET       5.400        96.09
GET       5.500        96.46
GET       5.600        96.72
GET       5.700        96.96
GET       5.800        97.12
GET       5.900        97.37
GET       6.000        97.55
GET       6.100        97.68
GET       6.200        97.83
GET       6.300        97.94
GET       6.400        98.07
GET       6.500        98.15
GET       6.600        98.22
GET       6.700        98.29
GET       6.800        98.33
GET       6.900        98.39
GET       7.000        98.49
GET       7.100        98.52
GET       7.200        98.59
GET       7.300        98.64
GET       7.400        98.67
GET       7.500        98.72
GET       7.600        98.78
GET       7.700        98.83
GET       7.800        98.84
GET       7.900        98.88
GET       8.000        98.93
GET       8.100        99.00
GET       8.200        99.05
GET       8.300        99.07
GET       8.400        99.12
GET       8.500        99.16
GET       8.600        99.20
GET       8.700        99.24
GET       8.800        99.27
GET       8.900        99.31
GET       9.000        99.35
GET       9.100        99.38
GET       9.200        99.41
GET       9.300        99.43
GET       9.400        99.44
GET       9.500        99.48
GET       9.600        99.50
GET       9.700        99.51
GET       9.800        99.55
GET       9.900        99.57
GET      10.000        99.65
GET      11.000        99.77
GET      12.000        99.86
GET      13.000        99.87
GET      14.000        99.90
GET      15.000        99.93
GET      16.000        99.94
GET      19.000        99.95
GET      20.000        99.96
GET      23.000        99.96
GET      42.000        99.97
GET      45.000        99.97
GET      73.000        99.98
GET      75.000        99.98
GET      87.000        99.99
GET     200.000        99.99
GET     340.000       100.00
---
