1         Threads
2         Connections per thread
60        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         348.60          ---          ---      3.23900       362.36
Gets         348.60      1039.23         6.58      2.48100      1085.11
Waits          0.00          ---          ---      0.00000          ---
Totals       697.21      1039.23         6.58      2.86000      1447.47


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       2.000         0.00
SET       2.100         0.07
SET       2.200         0.98
SET       2.300         4.95
SET       2.400        13.52
SET       2.500        25.59
SET       2.600        37.70
SET       2.700        47.65
SET       2.800        56.10
SET       2.900        62.23
SET       3.000        67.19
SET       3.100        71.07
SET       3.200        74.11
SET       3.300        76.61
SET       3.400        78.76
SET       3.500        80.45
SET       3.600        81.87
SET       3.700        83.33
SET       3.800        84.51
SET       3.900        85.56
SET       4.000        86.58
SET       4.100        87.53
SET       4.200        88.44
SET       4.300        89.31
SET       4.400        90.04
SET       4.500        90.70
SET       4.600        91.25
SET       4.700        91.86
SET       4.800        92.41
SET       4.900        92.95
SET       5.000        93.46
SET       5.100        93.89
SET       5.200        94.32
SET       5.300        94.72
SET       5.400        95.07
SET       5.500        95.41
SET       5.600        95.75
SET       5.700        96.03
SET       5.800        96.20
SET       5.900        96.44
SET       6.000        96.66
SET       6.100        96.82
SET       6.200        96.99
SET       6.300        97.16
SET       6.400        97.33
SET       6.500        97.47
SET       6.600        97.60
SET       6.700        97.71
SET       6.800        97.78
SET       6.900        97.88
SET       7.000        97.97
SET       7.100        98.06
SET       7.200        98.13
SET       7.300        98.24
SET       7.400        98.30
SET       7.500        98.38
SET       7.600        98.44
SET       7.700        98.48
SET       7.800        98.56
SET       7.900        98.61
SET       8.000        98.69
SET       8.100        98.73
SET       8.200        98.80
SET       8.300        98.83
SET       8.400        98.89
SET       8.500        98.93
SET       8.600        98.97
SET       8.700        99.03
SET       8.800        99.06
SET       8.900        99.11
SET       9.000        99.17
SET       9.100        99.23
SET       9.200        99.25
SET       9.300        99.28
SET       9.400        99.34
SET       9.500        99.35
SET       9.600        99.40
SET       9.700        99.44
SET       9.800        99.48
SET       9.900        99.50
SET      10.000        99.61
SET      11.000        99.77
SET      12.000        99.82
SET      13.000        99.85
SET      14.000        99.87
SET      15.000        99.89
SET      16.000        99.91
SET      17.000        99.92
SET      19.000        99.92
SET      20.000        99.94
SET      21.000        99.94
SET      22.000        99.95
SET      24.000        99.96
SET      25.000        99.97
SET      28.000        99.98
SET      57.000        99.98
SET      58.000        99.99
SET     150.000        99.99
SET     330.000       100.00
SET     470.000       100.00
---
GET       0.670         0.00
GET       0.680         0.01
GET       0.690         0.02
GET       0.700         0.03
GET       0.710         0.05
GET       0.720         0.06
GET       0.730         0.07
GET       0.740         0.11
GET       0.750         0.17
GET       0.760         0.22
GET       0.770         0.27
GET       0.780         0.36
GET       0.790         0.44
GET       0.800         0.51
GET       0.810         0.61
GET       0.820         0.71
GET       0.830         0.84
GET       0.840         0.97
GET       0.850         1.18
