1         Threads
2         Connections per thread
60        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         253.45          ---          ---      4.27600       263.45
Gets         253.45      2265.99        15.05      3.59400      2361.09
Waits          0.00          ---          ---      0.00000          ---
Totals       506.90      2265.99        15.05      3.93500      2624.54


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       2.100         0.01
SET       2.200         0.72
SET       2.300         3.70
SET       2.400         9.63
SET       2.500        19.06
SET       2.600        29.22
SET       2.700        39.19
SET       2.800        47.35
SET       2.900        53.76
SET       3.000        58.82
SET       3.100        62.97
SET       3.200        66.17
SET       3.300        68.51
SET       3.400        70.70
SET       3.500        72.10
SET       3.600        73.30
SET       3.700        74.41
SET       3.800        75.31
SET       3.900        76.04
SET       4.000        76.66
SET       4.100        77.14
SET       4.200        77.67
SET       4.300        78.12
SET       4.400        78.47
SET       4.500        78.78
SET       4.600        79.17
SET       4.700        79.50
SET       4.800        79.88
SET       4.900        80.22
SET       5.000        80.50
SET       5.100        80.73
SET       5.200        80.88
SET       5.300        81.07
SET       5.400        81.27
SET       5.500        81.41
SET       5.600        81.60
SET       5.700        81.80
SET       5.800        81.93
SET       5.900        82.01
SET       6.000        82.09
SET       6.100        82.23
SET       6.200        82.32
SET       6.300        82.38
SET       6.400        82.43
SET       6.500        82.46
SET       6.600        82.52
SET       6.700        82.59
SET       6.800        82.69
SET       6.900        82.76
SET       7.000        82.84
SET       7.100        82.90
SET       7.200        83.00
SET       7.300        83.09
SET       7.400        83.14
SET       7.500        83.22
SET       7.600        83.30
SET       7.700        83.47
SET       7.800        83.76
SET       7.900        84.06
SET       8.000        84.47
SET       8.100        84.90
SET       8.200        85.48
SET       8.300        85.97
SET       8.400        86.51
SET       8.500        86.99
SET       8.600        87.48
SET       8.700        88.00
SET       8.800        88.50
SET       8.900        89.02
SET       9.000        89.62
SET       9.100        90.22
SET       9.200        90.81
SET       9.300        91.43
SET       9.400        92.14
SET       9.500        92.91
SET       9.600        93.81
SET       9.700        94.61
SET       9.800        95.53
SET       9.900        96.26
SET      10.000        98.18
SET      11.000        98.93
SET      12.000        99.22
SET      13.000        99.34
SET      14.000        99.40
SET      15.000        99.46
SET      16.000        99.49
SET      17.000        99.51
SET      18.000        99.53
SET      19.000        99.56
SET      20.000        99.59
SET      21.000        99.61
SET      22.000        99.62
SET      25.000        99.63
SET      26.000        99.63
SET      27.000        99.64
SET      28.000        99.65
SET      29.000        99.68
SET      30.000        99.69
SET      33.000        99.70
SET      38.000        99.72
SET      39.000        99.73
SET      40.000        99.74
SET      41.000        99.78
SET      51.000        99.79
SET      53.000        99.80
SET      54.000        99.81
SET      55.000        99.82
SET      56.000        99.83
SET      57.000        99.86
SET      66.000        99.87
SET      68.000        99.89
SET      69.000        99.91
SET      70.000        99.91
SET      72.000        99.92
SET      73.000        99.93
SET      76.000        99.95
SET      77.000        99.96
SET      80.000        99.97
SET      81.000        99.97
SET      86.000        99.98
SET      95.000        99.99
SET     110.000        99.99
SET     410.000       100.00
---
GET       0.800         0.01
GET       0.830         0.03
GET       0.840         0.03
GET       0.870         0.04
GET       0.880         0.07
GET       0.890         0.10
GET       0.900         0.12
GET       0.910         0.16
GET       0.920         0.20
GET       0.930         0.25
GET       0.940         0.28
GET       0.950         0.36
GET       0.960         0.44
GET       0.970         0.59
GET       0.980         0.70
GET       0.990         0.82
GET       1.000         1.79
GET       1.100         4.33
GET       1.200         7.96
GET       1.300        11.74
GET       1.400        15.39
GET       1.500        18.18
GET       1.600        20.31
GET       1.700        22.19
GET       1.800        23.42
GET       1.900        24.51
GET       2.000        25.21
GET       2.100        25.80
GET       2.200        26.87
GET       2.300        29.22
GET       2.400        33.96
GET       2.500        40.77
GET       2.600        48.38
GET       2.700        55.30
GET       2.800        61.48
GET       2.900        66.21
GET       3.000        70.05
GET       3.100        73.08
GET       3.200        75.28
GET       3.300        76.84
GET       3.400        78.20
GET       3.500        79.47
GET       3.600        80.26
GET       3.700        80.96
GET       3.800        81.59
GET       3.900        82.09
GET       4.000        82.49
GET       4.100        82.96
GET       4.200        83.30
GET       4.300        83.66
GET       4.400        83.98
GET       4.500        84.26
GET       4.600        84.50
GET       4.700        84.73
GET       4.800        84.95
GET       4.900        85.24
GET       5.000        85.39
GET       5.100        85.56
GET       5.200        85.68
GET       5.300        85.79
GET       5.400        85.93
GET       5.500        86.09
GET       5.600        86.19
GET       5.700        86.30
GET       5.800        86.40
GET       5.900        86.53
GET       6.000        86.60
GET       6.100        86.68
GET       6.200        86.75
GET       6.300        86.85
GET       6.400        86.93
GET       6.500        86.98
GET       6.600        87.03
GET       6.700        87.05
GET       6.800        87.12
GET       6.900        87.19
GET       7.000        87.24
GET       7.100        87.29
GET       7.200        87.32
GET       7.300        87.39
GET       7.400        87.43
GET       7.500        87.51
GET       7.600        87.68
GET       7.700        87.89
GET       7.800        88.09
GET       7.900        88.43
GET       8.000        88.84
GET       8.100        89.45
GET       8.200        89.92
GET       8.300        90.48
GET       8.400        90.94
GET       8.500        91.37
GET       8.600        91.76
GET       8.700        92.13
GET       8.800        92.48
GET       8.900        92.93
GET       9.000        93.21
GET       9.100        93.67
GET       9.200        94.13
GET       9.300        94.56
GET       9.400        95.13
GET       9.500        95.65
GET       9.600        96.17
GET       9.700        96.73
GET       9.800        97.12
GET       9.900        97.53
GET      10.000        98.65
GET      11.000        99.13
GET      12.000        99.34
GET      13.000        99.43
GET      14.000        99.49
GET      15.000        99.52
GET      16.000        99.53
GET      17.000        99.54
GET      18.000        99.58
GET      19.000        99.62
GET      20.000        99.63
GET      24.000        99.64
GET      25.000        99.65
GET      28.000        99.67
GET      29.000        99.70
GET      30.000        99.71
GET      35.000        99.72
GET      38.000        99.72
GET      40.000        99.73
GET      41.000        99.74
GET      42.000        99.74
GET      43.000        99.76
GET      44.000        99.78
GET      45.000        99.78
GET      48.000        99.80
GET      49.000        99.81
GET      50.000        99.82
GET      51.000        99.82
GET      52.000        99.84
GET      55.000        99.84
GET      56.000        99.85
GET      58.000        99.86
GET      62.000        99.86
GET      68.000        99.87
GET      69.000        99.88
GET      70.000        99.88
GET      72.000        99.89
GET      75.000        99.91
GET      79.000        99.91
GET      82.000        99.93
GET      83.000        99.93
GET      84.000        99.95
GET     100.000        99.96
GET     110.000        99.98
GET     260.000        99.99
GET     420.000       100.00
---
