1         Threads
2         Connections per thread
60        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         322.79          ---          ---      3.47500       335.52
Gets         322.79       320.96         1.83      2.70600       337.22
Waits          0.00          ---          ---      0.00000          ---
Totals       645.58       320.96         1.83      3.09000       672.74


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       2.100         0.05
SET       2.200         0.79
SET       2.300         4.22
SET       2.400        11.56
SET       2.500        22.66
SET       2.600        34.89
SET       2.700        45.64
SET       2.800        54.87
SET       2.900        61.92
SET       3.000        67.71
SET       3.100        72.01
SET       3.200        75.34
SET       3.300        77.56
SET       3.400        79.53
SET       3.500        81.25
SET       3.600        82.41
SET       3.700        83.30
SET       3.800        84.20
SET       3.900        84.84
SET       4.000        85.57
SET       4.100        86.14
SET       4.200        86.72
SET       4.300        87.25
SET       4.400        87.79
SET       4.500        88.28
SET       4.600        88.66
SET       4.700        89.01
SET       4.800        89.30
SET       4.900        89.60
SET       5.000        89.83
SET       5.100        90.12
SET       5.200        90.43
SET       5.300        90.67
SET       5.400        90.91
SET       5.500        91.11
SET       5.600        91.33
SET       5.700        91.51
SET       5.800        91.66
SET       5.900        91.78
SET       6.000        91.89
SET       6.100        92.03
SET       6.200        92.19
SET       6.300        92.26
SET       6.400        92.33
SET       6.500        92.38
SET       6.600        92.45
SET       6.700        92.54
SET       6.800        92.62
SET       6.900        92.68
SET       7.000        92.76
SET       7.100        92.80
SET       7.200        92.85
SET       7.300        92.93
SET       7.400        92.98
SET       7.500        93.04
SET       7.600        93.09
SET       7.700        93.18
SET       7.800        93.28
SET       7.900        93.44
SET       8.000        93.58
SET       8.100        93.76
SET       8.200        93.95
SET       8.300        94.16
SET       8.400        94.42
SET       8.500        94.63
SET       8.600        94.82
SET       8.700        95.01
SET       8.800        95.25
SET       8.900        95.45
SET       9.000        95.61
SET       9.100        95.84
SET       9.200        96.10
SET       9.300        96.39
SET       9.400        96.74
SET       9.500        97.09
SET       9.600        97.42
SET       9.700        97.72
SET       9.800        98.04
SET       9.900        98.37
SET      10.000        99.08
SET      11.000        99.53
SET      12.000        99.67
SET      13.000        99.73
SET      14.000        99.77
SET      15.000        99.82
SET      16.000        99.83
SET      17.000        99.87
SET      18.000        99.87
SET      20.000        99.90
SET      22.000        99.91
SET      29.000        99.91
SET      30.000        99.92
SET      32.000        99.93
SET      39.000        99.95
SET      40.000        99.95
SET      41.000        99.96
SET      42.000        99.96
SET      50.000        99.97
SET      57.000        99.97
SET      58.000        99.98
SET      59.000        99.98
SET      68.000        99.99
SET      75.000        99.99
SET      89.000       100.00
---
GET       0.610         0.01
GET       0.620         0.01
GET       0.630         0.02
GET       0.650         0.02
GET       0.660         0.04
GET       0.670         0.06
GET       0.680         0.08
GET       0.690         0.10
GET       0.700         0.13
GET       0.710         0.16
GET       0.720         0.22
GET       0.730         0.27
GET       0.740         0.33
GET       0.750         0.39
GET       0.760         0.49
GET       0.770         0.59
GET       0.780         0.71
GET       0.790         0.89
GET       0.800         1.04
GET       0.810         1.20
GET       0.820         1.38
GET       0.830         1.60
GET       0.840         1.81
GET       0.850         2.08
GET       0.860         2.34
GET       0.870         2.66
GET       0.880         3.02
GET       0.890         3.29
GET       0.900         3.63
GET       0.910         3.98
GET       0.920         4.35
GET       0.930         4.72
GET       0.940         5.17
GET       0.950         5.55
GET       0.960         6.04
GET       0.970         6.47
GET       0.980         6.91
GET       0.990         7.33
GET       1.000         9.72
GET       1.100        13.94
GET       1.200        17.75
GET       1.300        20.77
GET       1.400        23.04
GET       1.500        24.63
GET       1.600        26.00
GET       1.700        26.86
GET       1.800        27.59
GET       1.900        28.12
GET       2.000        28.79
GET       2.100        30.84
GET       2.200        36.02
GET       2.300        44.11
GET       2.400        53.46
GET       2.500        61.27
GET       2.600        68.19
GET       2.700        73.23
GET       2.800        77.22
GET       2.900        79.84
GET       3.000        82.00
GET       3.100        83.73
GET       3.200        85.07
GET       3.300        86.14
GET       3.400        87.02
GET       3.500        87.64
GET       3.600        88.21
GET       3.700        88.84
GET       3.800        89.33
GET       3.900        89.73
GET       4.000        90.14
GET       4.100        90.47
GET       4.200        90.79
GET       4.300        91.10
GET       4.400        91.41
GET       4.500        91.69
GET       4.600        91.91
GET       4.700        92.14
GET       4.800        92.39
GET       4.900        92.64
GET       5.000        92.86
GET       5.100        93.01
GET       5.200        93.17
GET       5.300        93.34
GET       5.400        93.49
GET       5.500        93.65
GET       5.600        93.77
GET       5.700        93.84
GET       5.800        93.91
GET       5.900        93.96
GET       6.000        94.05
GET       6.100        94.10
GET       6.200        94.18
GET       6.300        94.23
GET       6.400        94.28
GET       6.500        94.33
GET       6.600        94.39
GET       6.700        94.43
GET       6.800        94.48
GET       6.900        94.49
GET       7.000        94.54
GET       7.100        94.58
GET       7.200        94.61
GET       7.300        94.64
GET       7.400        94.71
GET       7.500        94.82
GET       7.600        95.00
