1         Threads
2         Connections per thread
60        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         344.62          ---          ---      3.15200       358.21
Gets         344.60       342.72         1.88      2.63500       360.09
Waits          0.00          ---          ---      0.00000          ---
Totals       689.23       342.72         1.88      2.89300       718.30


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       2.000         0.11
SET       2.100         1.66
SET       2.200         6.87
SET       2.300        17.11
SET       2.400        29.65
SET       2.500        41.20
SET       2.600        50.49
SET       2.700        57.72
SET       2.800        62.91
SET       2.900        67.17
SET       3.000        70.52
SET       3.100        73.29
SET       3.200        75.42
SET       3.300        77.31
SET       3.400        78.97
SET       3.500        80.30
SET       3.600        81.71
SET       3.700        82.90
SET       3.800        83.91
SET       3.900        84.81
SET       4.000        85.77
SET       4.100        86.63
SET       4.200        87.49
SET       4.300        88.23
SET       4.400        89.01
SET       4.500        89.73
SET       4.600        90.34
SET       4.700        90.92
SET       4.800        91.44
SET       4.900        92.00
SET       5.000        92.56
SET       5.100        93.10
SET       5.200        93.55
SET       5.300        93.94
SET       5.400        94.29
SET       5.500        94.66
SET       5.600        94.88
SET       5.700        95.19
SET       5.800        95.43
SET       5.900        95.62
SET       6.000        95.85
SET       6.100        96.05
SET       6.200        96.24
SET       6.300        96.40
SET       6.400        96.53
SET       6.500        96.73
SET       6.600        96.90
SET       6.700        97.03
SET       6.800        97.14
SET       6.900        97.22
SET       7.000        97.30
SET       7.100        97.37
SET       7.200        97.53
SET       7.300        97.61
SET       7.400        97.68
SET       7.500        97.79
SET       7.600        97.87
SET       7.700        97.96
SET       7.800        98.03
SET       7.900        98.11
SET       8.000        98.18
SET       8.100        98.23
SET       8.200        98.30
SET       8.300        98.37
SET       8.400        98.45
SET       8.500        98.52
SET       8.600        98.58
SET       8.700        98.64
SET       8.800        98.72
SET       8.900        98.78
SET       9.000        98.83
SET       9.100        98.89
SET       9.200        98.95
SET       9.300        99.00
SET       9.400        99.07
SET       9.500        99.13
SET       9.600        99.19
SET       9.700        99.25
SET       9.800        99.30
SET       9.900        99.34
SET      10.000        99.53
SET      11.000        99.65
SET      12.000        99.71
SET      13.000        99.81
SET      14.000        99.86
SET      15.000        99.88
SET      16.000        99.88
SET      17.000        99.90
SET      18.000        99.91
SET      19.000        99.91
SET      20.000        99.92
SET      21.000        99.94
SET      22.000        99.94
SET      23.000        99.95
SET      25.000        99.97
SET      34.000        99.97
SET      36.000        99.98
SET      42.000        99.98
SET      50.000        99.99
SET      51.000        99.99
SET      53.000       100.00
SET      70.000       100.00
---
GET       0.460         0.00
GET       0.470         0.01
GET       0.490         0.02
GET       0.500         0.03
GET       0.510         0.05
GET       0.520         0.06
GET       0.530         0.09
GET       0.550         0.13
GET       0.560         0.18
GET       0.570         0.24
GET       0.580         0.28
GET       0.590         0.37
GET       0.600         0.49
GET       0.610         0.61
GET       0.620         0.74
GET       0.630         0.90
GET       0.640         1.06
GET       0.650         1.25
GET       0.660         1.44
GET       0.670         1.62
GET       0.680         1.87
GET       0.690         2.08
GET       0.700         2.33
GET       0.710         2.61
GET       0.720         2.87
GET       0.730         3.19
GET       0.740         3.53
GET       0.750         3.84
GET       0.760         4.16
GET       0.770         4.53
GET       0.780         4.95
GET       0.790         5.34
GET       0.800         5.74
GET       0.810         6.19
GET       0.820         6.64
GET       0.830         7.09
GET       0.840         7.56
GET       0.850         8.04
GET       0.860         8.46
GET       0.870         8.89
GET       0.880         9.32
GET       0.890         9.76
GET       0.900        10.13
GET       0.910        10.49
GET       0.920        10.93
GET       0.930        11.38
GET       0.940        11.80
GET       0.950        12.23
GET       0.960        12.67
GET       0.970        13.08
GET       0.980        13.47
GET       0.990        13.88
GET       1.000        15.95
GET       1.100        18.44
GET       1.200        20.41
GET       1.300        21.70
GET       1.400        22.61
GET       1.500        23.34
GET       1.600        23.98
GET       1.700        25.10
GET       1.800        27.71
GET       1.900        32.29
GET       2.000        38.54
GET       2.100        45.99
GET       2.200        54.28
GET       2.300        61.78
GET       2.400        67.40
GET       2.500        71.99
GET       2.600        75.42
GET       2.700        78.03
GET       2.800        80.09
GET       2.900        81.77
GET       3.000        83.10
GET       3.100        84.22
GET       3.200        85.23
GET       3.300        86.31
GET       3.400        87.24
GET       3.500        88.01
GET       3.600        88.74
GET       3.700        89.48
GET       3.800        90.13
GET       3.900        90.67
GET       4.000        91.30
GET       4.100        91.80
GET       4.200        92.29
GET       4.300        92.71
GET       4.400        93.09
GET       4.500        93.54
GET       4.600        93.95
GET       4.700        94.28
GET       4.800        94.62
GET       4.900        94.95
GET       5.000        95.26
GET       5.100        95.56
GET       5.200        95.83
GET       5.300        96.09
GET       5.400        96.29
GET       5.500        96.48
GET       5.600        96.63
GET       5.700        96.78
GET       5.800        96.93
GET       5.900        97.09
GET       6.000        97.20
GET       6.100        97.37
GET       6.200        97.51
GET       6.300        97.60
GET       6.400        97.75
GET       6.500        97.89
GET       6.600        97.98
GET       6.700        98.08
GET       6.800        98.19
GET       6.900        98.27
GET       7.000        98.35
GET       7.100        98.38
GET       7.200        98.44
GET       7.300        98.50
GET       7.400        98.56
GET       7.500        98.61
GET       7.600        98.65
GET       7.700        98.69
GET       7.800        98.76
GET       7.900        98.79
GET       8.000        98.84
GET       8.100        98.88
GET       8.200        98.91
GET       8.300        98.95
GET       8.400        99.02
GET       8.500        99.08
GET       8.600        99.11
GET       8.700        99.17
GET       8.800        99.21
GET       8.900        99.26
GET       9.000        99.30
GET       9.100        99.34
GET       9.200        99.38
GET       9.300        99.39
GET       9.400        99.41
GET       9.500        99.44
GET       9.600        99.48
GET       9.700        99.51
GET       9.800        99.54
GET       9.900        99.55
GET      10.000        99.65
GET      11.000        99.76
GET      12.000        99.81
GET      13.000        99.85
GET      14.000        99.86
GET      15.000        99.88
GET      16.000        99.90
GET      17.000        99.92
GET      19.000        99.93
GET      20.000        99.93
GET      21.000        99.95
GET      22.000        99.95
GET      23.000        99.96
GET      28.000        99.96
GET      29.000        99.97
GET      40.000        99.98
GET      71.000        99.98
GET     160.000        99.99
GET    2400.000       100.00
---
