Chart Title: ,foraslvms6 Network Out (Avg)
,
Tue Nov 07 2017 15:00:00 GMT+0100 (CET),
Tue Nov 07 2017 17:10:00 GMT+0100 (CET),
Grain: Automatic,
Aggregation type: Avg,
Grouping: None,
Filters: None,
,
,"foraslvms6, Network Out (Avg)"
11/7/2017 17:05,21984580.4545455
11/7/2017 17:06,22090062.8484848
11/7/2017 17:07,21888295.3636364
11/7/2017 17:08,4138252.24242424
11/7/2017 17:09,13.5151515151515
11/7/2017 17:10,4.90909090909091
11/7/2017 17:11,16.7878787878788
11/7/2017 17:12,7.90909090909091
11/7/2017 17:13,15.1515151515152
11/7/2017 17:14,0
11/7/2017 17:15,15.1515151515152
11/7/2017 17:16,1.63636363636364
